entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,835484,11,-2.808107,1.8738762,1,2,60.42893,199.06805,0.5185049
0,1,835484,-11,0.314515,-1.8492259,2,2,60.42893,199.06805,0.33784336
1,0,835485,11,3.0981116,1.7605062,1,2,42.12403,124.929474,0.4188607
1,1,835485,-11,-0.07406921,-1.7408042,2,2,42.12403,124.929474,0.74543536
2,0,835487,11,1.83295,2.2740777,1,2,47.81644,233.9187,0.61372924
2,1,835487,-11,-1.3244076,-2.2662332,2,2,47.81644,233.9187,0.03850702
3,0,835486,11,0.77026725,1.7957714,1,2,53.832462,164.87312,0.0012505151
3,1,835486,-11,-2.3944256,-1.773736,2,2,53.832462,164.87312,0.5180702
4,1,835483,-11,-0.9555227,-2.05362,2,2,65.11459,262.3052,0.5717413
5,0,835493,11,2.8627872,1.8398882,1,2,21.232803,67.52703,0.10838524
5,1,835493,-11,-0.33493677,-1.8095113,2,2,21.232803,67.52703,0.6066402
6,0,835481,11,2.9246242,2.6053243,1,2,32.63607,219.39552,0.59328103
6,1,835481,-11,-0.23357925,-2.5809057,2,2,32.63607,219.39552,0.20892459
7,0,835489,11,0.63627464,2.7209618,1,2,20.017479,155.15022,0.832463
7,1,835489,-11,-2.5287006,-2.7528389,2,2,20.017479,155.15022,0.7514556
8,0,835492,11,0.9989286,2.5753632,1,2,12.613713,82.39794,0.5974019
8,1,835492,-11,-2.1868968,-2.5529518,2,2,12.613713,82.39794,0.15307269
9,0,835488,11,-2.5447226,2.2481182,1,2,68.32348,328.9395,0.82980835
10,0,835494,11,1.183245,1.8288183,1,2,21.598444,68.44841,0.37576663
10,1,835494,-11,-2.0137863,-1.8129585,2,2,21.598444,68.44841,0.059281133
11,0,835495,11,1.0342581,1.7294037,1,2,54.264355,155.01344,0.20167081
11,1,835495,-11,-2.132141,-1.6923428,2,2,54.264355,155.01344,0.65041643
12,0,835499,11,1.9268464,1.8511224,1,2,10.284518,33.24205,0.5292379
12,1,835499,-11,-1.3285756,-1.8329816,2,2,10.284518,33.24205,0.24428022
13,0,835491,11,0.399933,2.4831812,1,2,44.41937,272.2773,0.77971584
14,0,835482,11,0.09892032,2.5213013,1,2,76.110695,470.9008,0.35698938
14,1,835482,-11,-3.0504177,-2.4968786,2,2,76.110695,470.9008,0.96923155
15,0,835498,11,-1.8250684,2.696674,1,2,40.41087,302.8059,0.24127996
15,1,835498,-11,1.3045294,-2.7086906,2,2,40.41087,302.8059,0.707409
16,0,835490,11,0.65280676,2.607746,1,2,76.31428,521.96533,0.9771198
16,1,835490,-11,-2.4958007,-2.613268,2,2,76.31428,521.96533,0.9740098
17,0,835503,11,-2.6553888,1.6979725,1,2,83.08649,232.09695,0.76891685
17,1,835503,-11,0.46959692,-1.6756461,2,2,83.08649,232.09695,0.9906488
18,0,835497,11,-0.3433737,2.6221404,1,2,82.76675,564.86163,0.8589963
19,1,835501,-11,-2.6915681,-2.2324247,2,2,91.64732,436.73532,0.8399984
20,0,835505,11,0.44555715,1.8166765,1,2,74.05406,231.83487,0.6008728
20,1,835505,-11,-2.7124252,-1.7991021,2,2,74.05406,231.83487,0.38930875
21,0,835502,11,-2.483677,2.3538451,1,2,83.64903,449.05582,0.06649029
21,1,835502,-11,0.649789,-2.3760395,2,2,83.64903,449.05582,0.16442202
22,0,835496,11,2.768453,2.7765892,1,2,77.34993,630.13654,0.80659133
23,0,835510,11,-1.9244407,2.5980244,1,2,7.4788074,50.25803,0.093366936
23,1,835510,-11,1.1447871,-2.5877602,2,2,7.4788074,50.25803,0.8129908
24,0,835506,11,-3.0967746,2.7095423,1,2,33.041393,250.12216,0.28420645
25,0,835500,11,-1.3499407,2.6455698,1,2,95.43868,694.78015,0.880166
26,0,835507,11,-0.072217405,1.9388918,1,2,50.795403,181.08093,0.56034523
26,1,835507,-11,3.0486836,-1.9491854,2,2,50.795403,181.08093,0.82055575
27,0,835509,11,0.86997545,2.0513353,1,2,56.695995,220.30386,0.45809639
27,1,835509,-11,-2.2885013,-2.0159664,2,2,56.695995,220.30386,0.78908396
28,0,835511,11,-2.9758463,1.6552546,1,2,87.97083,240.52464,0.035948914
28,1,835511,-11,0.14967814,-1.6722691,2,2,87.97083,240.52464,0.55599403
29,0,835517,11,0.93544763,2.608724,1,2,6.1023865,41.418972,0.43839297
29,1,835517,-11,-2.293991,-2.5974147,2,2,6.1023865,41.418972,0.04102221
30,0,835512,11,-2.4900165,2.3578315,1,2,48.164845,254.7962,0.9906028
30,1,835512,-11,0.6371856,-2.3421032,2,2,48.164845,254.7962,0.075630166
31,1,835504,-11,1.8520578,-2.5599809,2,2,94.529495,607.8284,0.2236796
32,1,835515,-11,1.1847174,-1.7084968,2,2,63.37157,181.25914,0.09268882
33,0,835516,11,-0.3515536,1.8972334,1,2,37.96563,128.57443,0.743935
34,0,835514,11,2.2486506,2.4199252,1,2,48.46986,273.91278,0.49660555
34,1,835514,-11,-0.90626454,-2.414284,2,2,48.46986,273.91278,0.26959273
35,0,835513,11,-1.8532797,2.324512,1,2,87.27446,448.59103,0.056903113
35,1,835513,-11,1.2801833,-2.3167117,2,2,87.27446,448.59103,0.9077115
36,0,835524,11,-0.955399,1.784935,1,2,5.795975,17.991156,0.9006279
37,0,835519,11,-0.752932,1.6199251,1,2,97.989456,261.1284,0.50782424
37,1,835519,-11,2.3738,-1.6525724,2,2,97.989456,261.1284,0.029276732
38,0,835508,11,1.2209858,2.6139836,1,2,86.56267,600.4503,0.86835796
38,1,835508,-11,-1.9266577,-2.6355832,2,2,86.56267,600.4503,0.699504
39,0,835522,11,-0.93041396,2.2298758,1,2,52.89789,249.78574,0.2516073
39,1,835522,-11,2.1964335,-2.2381237,2,2,52.89789,249.78574,0.77342457
40,0,835525,11,1.9215246,2.0590618,1,2,15.7172,61.675434,0.40220058
40,1,835525,-11,-1.2804028,-2.028749,2,2,15.7172,61.675434,0.0983335
41,0,835523,11,-0.16224954,1.9706476,1,2,47.23522,172.95009,0.10500329
41,1,835523,-11,2.9577074,-1.9730281,2,2,47.23522,172.95009,0.04121322
42,0,835521,11,-2.1099205,1.8341223,1,2,95.31365,307.6205,0.15829541
42,1,835521,-11,1.0193994,-1.8457841,2,2,95.31365,307.6205,0.7469211
43,0,835520,11,0.41684017,2.0056636,1,2,89.89852,345.1759,0.93868893
43,1,835520,-11,-2.735526,-2.0368426,2,2,89.89852,345.1759,0.6609024
44,0,835518,11,1.5066495,2.7639067,1,2,54.400723,429.37646,0.6794184
44,1,835518,-11,-1.6433674,-2.7463114,2,2,54.400723,429.37646,0.78259623
45,0,835531,11,1.5529964,2.4767556,1,2,14.142017,83.993515,0.5404881
