entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,449208,11,1.4620197,2.3351004,1,2,6.148156,31.871372,0.8494736
0,1,449208,-11,-1.7945821,-2.324553,2,2,6.148156,31.871372,0.7324604
1,0,449203,11,-0.029517977,1.7147589,1,2,43.048927,122.68028,0.67944217
1,1,449203,-11,3.0807369,-1.701533,2,2,43.048927,122.68028,0.72728515
2,0,449205,11,-1.2596961,2.2568634,1,2,49.61364,234.20607,0.2934913
2,1,449205,-11,1.8662192,-2.2110586,2,2,49.61364,234.20607,0.9342028
3,0,449210,11,-0.426078,1.9360018,1,2,36.173847,127.758934,0.15619175
3,1,449210,-11,2.686152,-1.9326367,2,2,36.173847,127.758934,0.3779006
4,0,449202,11,0.56146276,1.7445778,1,2,84.18527,250.56577,0.027988518
4,1,449202,-11,-2.5953705,-1.7642598,2,2,84.18527,250.56577,0.4864361
5,0,449201,11,1.4330949,1.9969649,1,2,37.169846,142.5825,0.5363268
5,1,449201,-11,-1.7346194,-2.043962,2,2,37.169846,142.5825,0.11224078
6,0,449207,11,1.5639127,2.4120824,1,2,68.80059,377.5721,0.89980996
6,1,449207,-11,-1.5873613,-2.3631353,2,2,68.80059,377.5721,0.43077844
7,0,449204,11,2.1749763,2.5411065,1,2,51.58234,334.1378,0.992382
7,1,449204,-11,-0.9774856,-2.5701406,2,2,51.58234,334.1378,0.6422867
8,0,449209,11,2.0194473,2.1894855,1,2,30.96308,137.9906,0.03188367
8,1,449209,-11,-1.1489062,-2.1602147,2,2,30.96308,137.9906,0.84370005
9,0,449215,11,2.2477155,1.9916031,1,2,34.325657,128.61699,0.045960203
9,1,449215,-11,-0.9228697,-2.0000675,2,2,34.325657,128.61699,0.7345071
10,0,449206,11,0.81396484,2.3874547,1,2,62.220657,351.96405,0.80291873
10,1,449206,-11,-2.3380322,-2.449736,2,2,62.220657,351.96405,0.85804033
11,0,449213,11,1.1902784,2.604453,1,2,33.058212,232.86725,0.14352049
11,1,449213,-11,-1.9669363,-2.6774783,2,2,33.058212,232.86725,0.3139581
