event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
5011,-211,-1.118808,-2.3080568,1,2,37.738014,191.01234,-1.0,42.235485,-2.3085475,-1.1213182,31.0,7.0,5.0,31.0,0.015192282,0.015982833,7.559374,0.0031170791,0.0028886152,-0.5488018,0.0,-0.00049066544,0.0025101900100708008,0.00255769553632547,True
5012,211,-2.8217194,2.7351706,2,2,60.74054,467.34116,-1.0,53.28985,2.732072,-2.8216553,34.0,9.0,3.0,27.0,0.030961595,0.030061167,16.01285,0.004079516,0.0033852046,-0.44718307,0.0,-0.0030984879,6.413459777832031e-05,0.0030991515335720386,True
5012,-211,0.32761142,-2.7235596,1,2,60.74054,467.34116,-1.0,53.254177,-2.7269115,0.3293838,52.0,12.0,1.0,37.0,0.027043423,0.028404627,24.614899,0.0035238091,0.002520874,-0.3956359,0.0,-0.0033519268,0.001772373914718628,0.0037916649361588433,True
5013,-211,-0.62847286,-2.9639068,1,2,95.06916,921.8458,-1.0,84.21662,-2.952337,-0.6255437,25.0,18.0,15.0,33.0,0.024558052,0.032331318,17.537119,0.0026327998,0.0023521578,-0.6197881,0.0,0.011569738,0.0029291510581970215,0.011934771638035944,True
5013,211,2.509121,2.9605992,2,2,95.06916,921.8458,-1.0,68.63498,2.9421198,2.5098355,46.0,28.0,1.0,37.0,0.034408797,0.038654666,33.861797,0.0037646263,0.0030649954,-0.42238,0.0,-0.018479347,0.0007145404815673828,0.018493156604549647,True
5015,-211,1.3866221,-1.9174517,1,2,48.073215,166.71927,-1.0,30.052452,-1.9176877,1.3878422,35.0,8.0,1.0,17.0,0.011302393,0.010946897,15.525543,0.0035333578,0.0033455794,0.086838745,1.0,-0.00023591518,0.001220107078552246,0.0012427056196802834,True
5015,211,-1.7775357,1.9131283,2,2,48.073215,166.71927,-1.0,41.17757,1.9135776,-1.7778405,14.0,11.0,23.0,27.0,0.012494644,0.011731439,11.317638,0.003945764,0.003363556,-0.5651722,0.0,0.0004492998,0.00030481815338134766,0.000542940538161235,True
5017,-211,-0.13652413,-2.6681514,1,2,93.750885,693.75946,-1.0,125.46477,-2.6687613,-0.13338669,40.0,12.0,1.0,33.0,0.028417017,0.026660627,11.413595,0.0040287827,0.003457057,-0.41020584,0.0,-0.0006098747,0.003137439489364624,0.00319616547288079,True
5017,211,2.9998415,2.7124233,2,2,93.750885,693.75946,-1.0,78.658264,2.7074616,3.0032907,44.0,15.0,1.0,29.0,0.027260855,0.031314373,24.736414,0.0036975588,0.0032013503,-0.25744733,0.0,-0.004961729,0.0034492015838623047,0.006042826087724727,True
5021,211,-1.6184839,-2.5398972,2,2,52.451653,333.8426,-1.0,35.272415,-2.5431776,-1.6167005,36.0,12.0,9.0,31.0,0.024202568,0.02264223,21.279562,0.0038610934,0.0032832676,-0.49965632,0.0,-0.0032804012,0.0017833709716796875,0.0037338243390179493,True
5021,-211,1.534064,2.535509,1,2,52.451653,333.8426,-1.0,34.42918,2.53915,1.5349938,25.0,9.0,7.0,27.0,0.024343465,0.024957793,8.093615,0.0038840773,0.0031327014,-0.53651625,0.0,0.0036408901,0.000929713249206543,0.003757718396241461,True
5024,-211,-2.405229,-2.5184107,1,2,84.34571,537.7974,-1.0,60.74851,-2.5202968,-2.4063425,29.0,15.0,1.0,13.0,0.026737986,0.029434605,6.8537316,0.0043589706,0.003925711,-0.17657848,0.0,-0.0018861294,0.0011134147644042969,0.002190245743313927,True
5025,211,0.34153986,1.4559481,2,2,98.4219,222.49147,-1.0,14.566732,1.4180532,0.34033918,4.0,4.0,41.0,43.0,8.961276e-08,1.604757e-08,5.9493794,6.443474e-08,0.0,-999.0,1.0,-0.037894964,0.0012006759643554688,0.037913980311579165,True
5025,-211,-2.7819948,-1.4557018,1,2,98.4219,222.49147,-1.0,85.79243,-1.4702578,-2.8012536,7.0,7.0,42.0,43.0,8.64719e-08,1.8896652e-07,11.430427,4.6439897e-08,2.0831601e-08,-999.0,1.0,-0.014555931,0.019258737564086914,0.02414071460391763,True
5039,-211,0.65891427,-2.1957352,1,2,30.734535,136.67274,-1.0,17.017776,-2.1958523,0.66262335,25.0,7.0,15.0,23.0,0.014622388,0.017877283,22.318075,0.0033866062,0.0024958488,-0.44535995,0.0,-0.00011706352,0.003709077835083008,0.0037109247169629343,True
5039,211,-2.5096836,2.149813,2,2,30.734535,136.67274,-1.0,22.056202,2.1520083,-2.507843,14.0,8.0,21.0,27.0,0.01769156,0.01716159,9.05828,0.0043044523,0.0034308448,-0.62323356,0.0,0.0021953583,0.0018405914306640625,0.00286485161504883,True
5042,-211,1.2685655,1.8576088,1,2,22.8078,75.991646,-1.0,11.5296955,1.8636818,1.2664394,15.0,8.0,13.0,23.0,0.013660422,0.012559978,4.041769,0.0045381663,0.004242583,-0.57750654,0.0,0.006072998,0.0021260976791381836,0.006434407246870867,True
5042,211,-1.9226724,-1.8895699,2,2,22.8078,75.991646,-1.0,11.60472,-1.8858707,-1.9239961,28.0,8.0,7.0,13.0,0.010839381,0.009603479,11.431488,0.0035321915,0.0032040316,-0.082042865,0.0,0.0036991835,0.001323699951171875,0.003928885289729266,True
5043,-211,-3.1321867,1.7078495,1,2,93.09019,257.799,-1.0,46.044373,1.7059529,-3.1306217,38.0,14.0,1.0,31.0,0.012990648,0.014643072,19.90935,0.0052095437,0.00436591,-0.45143494,0.0,-0.0018966198,0.0015649795532226562,0.0024589281401856157,True
5051,-211,-2.468227,2.4322405,1,2,69.10811,399.44016,-1.0,53.312565,2.434879,-2.4703612,40.0,6.0,7.0,39.0,0.022562018,0.021509148,22.246212,0.004050864,0.0034077016,-0.6604581,0.0,0.0026385784,0.0021343231201171875,0.003393734105066161,True
5051,211,0.6642533,-2.4477699,2,2,69.10811,399.44016,-1.0,30.584108,-2.448795,0.6619383,46.0,12.0,1.0,13.0,0.029476281,0.030520082,22.48194,0.005178593,0.0047451835,-0.40282592,0.0,-0.0010251999,0.0023149847984313965,0.0025318351904705,True
5052,-211,-0.7605067,2.4350243,1,2,59.936646,343.30325,-1.0,35.03099,2.433455,-0.7588133,28.0,8.0,7.0,29.0,0.022543002,0.02260687,7.8520885,0.004032758,0.0036942628,-0.6634301,0.0,-0.0015692711,0.0016933679580688477,0.0023087024035023307,True
5052,211,2.3704638,-2.4265327,2,2,59.936646,343.30325,-1.0,47.596497,-2.4208145,2.3713043,33.0,6.0,17.0,44.0,0.024451805,0.019899752,31.016783,0.0044558714,0.0036935892,-0.6688304,0.0,0.005718231,0.0008404254913330078,0.00577966115585835,True
5053,211,-0.48789978,1.9499514,2,2,78.168846,285.27258,-1.0,91.713524,1.952248,-0.4889463,39.0,8.0,3.0,33.0,0.011687379,0.011516334,10.816856,0.003530731,0.0030627146,-0.46740022,0.0,0.002296567,0.001046508550643921,0.002523767015554797,True
5053,-211,2.6668103,-1.9872478,1,2,78.168846,285.27258,-1.0,52.19092,-1.9875175,2.6666832,35.0,12.0,3.0,13.0,0.013146873,0.012839583,14.849784,0.0037998965,0.0036420338,0.030345049,1.0,-0.0002696514,0.0001270771026611328,0.0002980947408696741,True
5055,-211,-1.4775474,-1.831887,1,2,71.46148,227.5323,-1.0,56.992973,-1.8314976,-1.4744215,19.0,8.0,25.0,27.0,0.01070551,0.013032321,11.014836,0.003715898,0.0032796322,-0.612186,0.0,0.00038945675,0.003125905990600586,0.003150073780308168,True
5061,-211,0.27111778,-1.5690471,1,2,32.14026,80.51353,-1.0,12.271283,-1.5709196,0.27110845,23.0,10.0,7.0,21.0,0.007933754,0.010470685,6.529626,0.0037575064,0.0033946503,-0.21357095,0.0,-0.0018725395,9.328126907348633e-06,0.0018725627543291845,True
5074,211,-2.3107655,-1.6725469,2,2,29.42911,80.72656,-1.0,14.060192,-1.6740024,-2.3100977,28.0,8.0,11.0,17.0,0.009342988,0.008830521,13.291096,0.0038627887,0.003475911,-0.15904045,0.0,-0.0014555454,0.0006678104400634766,0.0016014316134200057,True
5074,-211,0.8787139,1.662095,1,2,29.42911,80.72656,-1.0,22.783089,1.6615852,0.8782558,21.0,11.0,3.0,13.0,0.009620173,0.008385891,4.833582,0.0040503107,0.0036938565,-0.06382067,0.0,-0.0005097389,0.00045812129974365234,0.000685353116285318,True
5075,211,-2.2888982,2.258343,2,2,78.65102,383.83536,-1.0,77.48792,2.2583303,-2.296044,19.0,14.0,19.0,30.0,0.01758423,0.019325122,11.015665,0.003813603,0.0034106493,-0.54444665,0.0,-1.2636185e-05,0.007145881652832031,0.007145892825214007,True
5075,-211,0.86227524,-2.2771065,1,2,78.65102,383.83536,-1.0,73.181145,-2.2761123,0.8618978,42.0,9.0,5.0,35.0,0.020235758,0.0157609,25.812778,0.004277928,0.0039320746,-0.681677,0.0,0.0009942055,0.00037741661071777344,0.0010634320966918366,True
5076,211,2.1146548,1.7271014,2,2,58.400436,172.03957,-1.0,40.096844,1.7286891,2.1132157,24.0,9.0,15.0,35.0,0.009424957,0.009521936,18.233852,0.003671581,0.0033802886,-0.60096,0.0,0.0015876293,0.0014390945434570312,0.0021427925471895386,True
5076,-211,-1.004704,-1.7600772,1,2,58.400436,172.03957,-1.0,26.699604,-1.75877,-1.0046395,24.0,11.0,9.0,15.0,0.01027106,0.013513623,8.113348,0.0038804554,0.0036035848,-0.15105276,0.0,0.0013072491,6.449222564697266e-05,0.0013088389202976826,True
5082,211,1.3949854,1.9704783,2,2,62.94529,226.31592,-1.0,26.413553,1.9743023,1.3968587,34.0,14.0,7.0,27.0,0.014861745,0.016967388,18.717772,0.0043699504,0.0037550442,-0.6260572,0.0,0.0038239956,0.0018732547760009766,0.004258171634975777,True
5082,-211,-1.7300328,-1.9356583,1,2,62.94529,226.31592,-1.0,51.124043,-1.9371531,-1.733043,22.0,10.0,25.0,29.0,0.01195298,0.014651816,31.833683,0.0036714629,0.0035419513,-0.640385,0.0,-0.0014947653,0.0030101537704467773,0.003360855407261459,True
5085,-211,1.3216083,-2.8714595,1,2,59.684265,532.50714,-1.0,64.62841,-2.8711705,1.3282038,25.0,13.0,3.0,17.0,0.033070866,0.036914036,4.904847,0.0038132349,0.0034926126,0.1938256,1.0,0.00028896332,0.006595492362976074,0.006601819393860361,True
5088,-211,1.0697528,1.7005463,1,2,17.91683,50.71537,-1.0,10.0585375,1.6971161,1.066292,19.0,10.0,1.0,11.0,0.010132551,0.010792118,4.398583,0.0041194144,0.00381509,-0.08597618,0.0,-0.003430128,0.0034607648849487305,0.004872645354660195,True
5088,211,-2.1477149,-1.7016246,2,2,17.91683,50.71537,-1.0,6.468428,-1.7005547,-2.1497877,21.0,2.0,17.0,27.0,0.0067733508,0.007465391,15.763712,0.002740683,0.0017450209,-0.6624755,0.0,0.0010699034,0.0020728111267089844,0.0023326463902382274,True
5089,-211,-0.5698149,-2.9567428,1,2,85.72674,825.6727,-1.0,64.05188,-2.944644,-0.57014877,33.0,19.0,1.0,13.0,0.035434708,0.045041822,10.3378,0.0038635263,0.003450426,-0.06428146,0.0,0.012098789,0.0003338456153869629,0.012103394206571852,True
5089,211,2.5674405,2.9542105,2,2,85.72674,825.6727,-1.0,71.16512,2.947589,2.558451,39.0,9.0,7.0,33.0,0.027671175,0.037375946,17.35909,0.0029760585,0.0026469554,-0.49702755,0.0,-0.006621599,0.008989572525024414,0.011165034240965337,True
5092,211,-2.29853,-2.8355496,2,2,98.59249,845.44257,-1.0,79.09018,-2.8375502,-2.2953331,37.0,18.0,5.0,27.0,0.0351108,0.037110403,20.248678,0.004155695,0.0037887278,-0.6307691,0.0,-0.0020005703,0.0031969547271728516,0.0037713128993698214,True
5092,-211,0.84745085,2.841651,1,2,98.59249,845.44257,-1.0,89.06752,2.8412218,0.84266156,33.0,20.0,9.0,31.0,0.035414927,0.03273123,22.098022,0.0041478663,0.0036839535,-0.6510858,0.0,-0.00042915344,0.004789292812347412,0.0048084819142335975,True
5094,-211,1.6403005,1.9668773,1,2,64.118515,232.69676,-1.0,49.94377,1.9660722,1.6429929,18.0,9.0,34.0,38.0,0.016069911,0.014056557,19.592411,0.0047365003,0.003543668,-0.6418373,0.0,-0.00080513954,0.0026923418045043945,0.002810151966312795,True
5097,211,2.854067,-1.7501982,2,2,41.913403,122.79286,-1.0,16.87952,-1.7487191,2.8546305,19.0,8.0,17.0,21.0,0.010846442,0.010883595,7.8687773,0.0041075833,0.003758301,-0.39382327,0.0,0.0014791489,0.0005633831024169922,0.001582808227224212,True
5098,-211,1.0402508,1.6647592,1,2,63.903416,172.40741,-1.0,36.042576,1.663321,1.042401,27.0,13.0,11.0,31.0,0.009428753,0.010207347,13.85475,0.003970148,0.0033902714,-0.47487155,0.0,-0.0014381409,0.0021501779556274414,0.0025867961652126276,True
