entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,1,55047,-11,1.0304445,-1.7125266,2,2,49.735294,143.28552,0.91953087
1,0,55043,11,-0.082934186,2.1243005,1,2,30.988544,128.7884,0.97507185
1,1,55043,-11,3.0298648,-2.0820563,2,2,30.988544,128.7884,0.95910937
2,0,55045,11,1.4474745,2.1084027,1,2,42.183594,175.15143,0.41288313
2,1,55045,-11,-1.7152905,-2.0955577,2,2,42.183594,175.15143,0.84885
3,0,55044,11,-0.9889415,2.7920609,1,2,28.746183,237.12373,0.22069548
3,1,55044,-11,2.1373444,-2.8070755,2,2,28.746183,237.12373,0.49646798
4,0,55046,11,3.0353262,2.5929477,1,2,40.93062,271.97473,0.7353373
4,1,55046,-11,-0.11969234,-2.5697403,2,2,40.93062,271.97473,0.69595826
5,0,55051,11,2.5209947,1.7490721,1,2,23.647835,68.33302,0.41988918
5,1,55051,-11,-0.6767309,-1.697736,2,2,23.647835,68.33302,0.93014014
6,0,55042,11,-0.9726146,2.4778717,1,2,48.794243,284.9621,0.35581627
6,1,55042,-11,2.1561322,-2.4238617,2,2,48.794243,284.9621,0.39233103
7,0,55048,11,-2.327155,2.2414026,1,2,65.028984,306.7196,0.95054704
7,1,55048,-11,0.8024395,-2.2243197,2,2,65.028984,306.7196,0.25817424
8,0,55055,11,2.583696,1.8604555,1,2,5.0333633,16.541166,0.6649525
8,1,55055,-11,-0.7862501,-1.8615545,2,2,5.0333633,16.541166,0.959368
9,0,55050,11,-3.0792415,1.8635113,1,2,48.74947,160.19725,0.3817342
9,1,55050,-11,0.038787425,-1.8542774,2,2,48.74947,160.19725,0.7424931
10,0,55052,11,1.2938412,1.8202074,1,2,30.534859,95.296196,0.15907058
10,1,55052,-11,-1.8876284,-1.7893015,2,2,30.534859,95.296196,0.9044007
11,0,55041,11,-2.040319,2.475139,1,2,63.30723,377.6536,0.9603795
11,1,55041,-11,1.0916156,-2.4689279,2,2,63.30723,377.6536,0.42298293
12,0,55060,11,-0.626032,1.772619,1,2,17.073616,52.417538,0.9099345
12,1,55060,-11,2.442959,-1.802478,2,2,17.073616,52.417538,0.55023086
13,0,55059,11,-1.787011,2.005271,1,2,38.17851,144.23318,0.83287495
13,1,55059,-11,1.3287406,-2.003405,2,2,38.17851,144.23318,0.16700894
14,1,55058,-11,-0.6780324,-2.015078,2,2,52.56033,203.41249,0.6360644
15,0,55054,11,-0.5583111,2.481277,1,2,56.399254,335.6395,0.7176153
15,1,55054,-11,2.572456,-2.4580615,2,2,56.399254,335.6395,0.7450853
16,0,55053,11,0.86208075,2.0941696,1,2,90.519035,368.33304,0.36219087
16,1,55053,-11,-2.2895894,-2.0682662,2,2,90.519035,368.33304,0.9579684
17,0,55056,11,0.7780214,2.2058806,1,2,74.81859,341.70145,0.593124
17,1,55056,-11,-2.3743308,-2.1937904,2,2,74.81859,341.70145,0.66069734
18,0,55063,11,-2.5363455,1.9548839,1,2,34.634026,128.44235,0.9950401
18,1,55063,-11,0.5761476,-2.0164332,2,2,34.634026,128.44235,0.24317066
19,1,55061,-11,2.884488,-2.546952,2,2,41.997604,266.69925,0.04340654
20,0,55062,11,2.189372,1.9402269,1,2,60.136024,214.14377,0.95010203
20,1,55062,-11,-0.9697009,-1.9455272,2,2,60.136024,214.14377,0.15709734
21,0,55068,11,-1.3942122,1.5998534,1,2,5.453941,14.12893,0.9656007
21,1,55068,-11,1.4711536,-1.6171981,2,2,5.453941,14.12893,0.47882
22,0,55057,11,-0.605912,2.3839936,1,2,79.48983,427.43985,0.26017675
22,1,55057,-11,2.5271466,-2.3494694,2,2,79.48983,427.43985,0.36372355
23,0,55067,11,2.343523,1.7941256,1,2,37.752995,117.415955,0.16646211
24,0,55069,11,-2.2850575,2.3574374,1,2,14.861193,78.42555,0.9099072
24,1,55069,-11,0.8098395,-2.3377314,2,2,14.861193,78.42555,0.8621757
25,0,55049,11,0.8406224,2.7561743,1,2,89.16962,700.2934,0.38274837
25,1,55049,-11,-2.3061376,-2.7439222,2,2,89.16962,700.2934,0.81332016
26,0,55070,11,0.46099102,1.7178862,1,2,64.01629,184.17567,0.42006862
26,1,55070,-11,-2.7014384,-1.7186042,2,2,64.01629,184.17567,0.01525756
27,0,55074,11,-0.90276617,2.5596297,1,2,19.598957,127.43261,0.2669204
28,0,55076,11,-2.6601548,1.8066677,1,2,6.586333,20.634684,0.23894282
28,1,55076,-11,0.29741523,-1.8132877,2,2,6.586333,20.634684,0.9155841
29,0,55066,11,1.320721,1.9512779,1,2,90.26196,323.72284,0.7931773
29,1,55066,-11,-1.8324693,-1.949315,2,2,90.26196,323.72284,0.70141286
30,0,55072,11,1.1047637,1.948476,1,2,63.170544,224.01442,0.09623156
30,1,55072,-11,-2.0535955,-1.9286947,2,2,63.170544,224.01442,0.9381148
31,0,55073,11,-1.8820204,1.7921748,1,2,75.13725,229.67856,0.5168362
31,1,55073,-11,1.2430099,-1.7731802,2,2,75.13725,229.67856,0.27522483
32,0,55078,11,0.80134994,1.6596291,1,2,29.33617,81.06136,0.38327715
32,1,55078,-11,-2.3878703,-1.690953,2,2,29.33617,81.06136,0.18038768
33,1,55064,-11,1.145053,-2.5488591,2,2,72.19586,464.97586,0.93721646
34,0,55075,11,-1.3359298,1.766912,1,2,79.197495,237.43152,0.2828053
34,1,55075,-11,1.789591,-1.757193,2,2,79.197495,237.43152,0.7194122
35,0,55082,11,-1.5005603,2.6377335,1,2,13.858782,97.00586,0.98198825
