event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
72001,-11,-1.530431,-2.036749,1,2,74.65015,295.01123,0.83152604,94.62205,-2.0373843,-1.5266025,42.0,15.0,1.0,9.0,0.018451821,0.020312486,8.442693,0.004974796,0.0026065556,-0.0006353855,0.0038285255432128906,0.003880891983236877,True
72006,11,-2.7732077,2.3005476,2,2,29.635931,148.30026,0.10980989,38.035667,2.2998648,-2.7730742,51.0,22.0,1.0,9.0,0.031189984,0.022955796,11.32242,0.0064361016,0.0030489655,-0.0006828308,0.000133514404296875,0.0006957614619874054,True
72006,-11,0.3437213,-2.2860823,1,2,29.635931,148.30026,0.16777688,37.995636,-2.2930095,0.34066096,48.0,24.0,1.0,13.0,0.027582658,0.025657983,26.2098,0.005577986,0.0027985426,-0.006927252,0.0030603408813476562,0.007573143599104133,True
72007,-11,-0.7436428,-2.5220227,1,2,52.188057,325.66898,0.30514988,61.386726,-2.5195453,-0.75654817,46.0,23.0,1.0,11.0,0.021816572,0.022824246,7.5062213,0.0036406103,0.0027703901,0.0024774075,0.012905359268188477,0.013140998648674535,True
72007,11,2.4091368,2.513391,2,2,52.188057,325.66898,0.14407717,56.851517,2.5059876,2.40273,50.0,23.0,1.0,9.0,0.020587247,0.014258889,7.3456287,0.0034879725,0.002256179,-0.0074033737,0.0064067840576171875,0.009790649797827077,True
72008,-11,2.5488677,-1.9737103,1,2,63.559044,231.34866,0.26574853,78.64112,-1.9747573,2.545507,52.0,22.0,1.0,9.0,0.020547023,0.019002669,9.37754,0.0061737187,0.0027101361,-0.0010470152,0.003360748291015625,0.003520066742223087,True
72009,11,1.394454,-2.066439,2,2,73.27985,295.04242,0.06513337,88.428955,-2.0674663,1.3933983,52.0,18.0,1.0,9.0,0.015917474,0.0113339955,7.919895,0.0041971253,0.0029240258,-0.0010273457,0.0010557174682617188,0.0014730846600323447,True
72009,-11,-1.759666,2.073968,1,2,73.27985,295.04242,0.47167504,85.73688,2.0736606,-1.7606405,43.0,17.0,1.0,9.0,0.015634868,0.011856928,7.5124545,0.004131313,0.0027687051,-0.00030732155,0.0009745359420776367,0.00102184482019051,True
72010,11,-2.6148496,-2.593116,2,2,29.303122,193.80539,0.0037416865,46.423283,-2.586272,-2.6162195,40.0,18.0,1.0,9.0,0.048154153,0.022654634,9.222128,0.0075446307,0.0040499764,0.0068440437,0.0013699531555175781,0.006979807018981011,True
72011,-11,0.38178447,-2.564783,1,2,52.57951,337.69223,0.9987565,63.64807,-2.5632303,0.39134148,47.0,27.0,1.0,11.0,0.019357432,0.022650192,9.431315,0.0030409875,0.0026051325,0.0015528202,0.009557008743286133,0.009682337871278743,True
72011,11,-2.7490745,2.529232,2,2,52.57951,337.69223,0.32053357,63.835705,2.5303078,-2.7491627,50.0,27.0,1.0,9.0,0.030210694,0.020171355,11.714874,0.0047828224,0.0028012963,0.0010757446,8.821487426757812e-05,0.0010793555348737923,True
72012,-11,2.0148714,-2.542569,1,2,5.819382,37.724663,0.12819986,17.68487,-2.5523179,2.012889,49.0,28.0,1.0,7.0,0.05706365,0.042321604,30.157064,0.008679486,0.0038938085,-0.009748936,0.001982450485229492,0.009948459938718433,True
72012,11,-1.0304703,2.5709336,2,2,5.819382,37.724663,0.80616486,12.38935,2.560019,-1.0560771,42.0,24.0,1.0,5.0,0.03900388,0.0453657,15.986857,0.006185145,0.003922819,-0.010914564,0.025606870651245117,0.027835939647578085,True
72013,-11,1.7055005,-2.7006788,1,2,43.66443,328.88806,0.39221182,58.898968,-2.7132535,1.6993586,47.0,20.0,1.0,9.0,0.02673513,0.021133931,10.0351715,0.0036417616,0.0024356386,-0.012574673,0.0061419010162353516,0.013994475321826365,True
72013,11,-1.425072,2.715175,2,2,43.66443,328.88806,0.8632775,61.31985,2.7154953,-1.4290946,52.0,36.0,1.0,11.0,0.035070486,0.03352239,24.314325,0.004527271,0.0025626305,0.00032043457,0.0040225982666015625,0.004035340769788501,True
72014,-11,0.9590492,2.7813835,1,2,72.66595,585.6436,0.9064679,75.6859,2.7886345,0.93949187,45.0,26.0,1.0,11.0,0.03131158,0.020939795,11.689675,0.003728735,0.0026275457,0.0072510242,0.01955735683441162,0.020858273185360175,True
72014,11,-2.1763334,-2.7708764,2,2,72.66595,585.6436,0.9772079,104.6409,-2.7865067,-2.1754339,52.0,38.0,1.0,9.0,0.051826593,0.030699445,20.658188,0.0060886694,0.0037128942,-0.015630245,0.0008995532989501953,0.01565610944694163,True
72017,11,0.017358702,-2.865037,2,2,28.715355,249.10983,0.40989608,34.03548,-2.8698986,0.037121672,52.0,18.0,1.0,9.0,0.0318284,0.021076975,20.053305,0.0035799576,0.0027672327,-0.0048615932,0.019762970507144928,0.02035215204868902,True
72017,-11,-3.1387494,2.8357406,1,2,28.715355,249.10983,0.9010585,47.120083,2.8378918,3.138591,52.0,38.0,1.0,9.0,0.050364405,0.035356153,24.030157,0.0059564034,0.003817035,0.0021512508,-0.005844895039693654,0.006228216288914063,True
72019,-11,-1.8524837,-1.6891215,1,2,48.052032,135.57373,0.13234803,64.055145,-1.6906576,-1.8511673,42.0,16.0,1.0,11.0,0.014259486,0.015295158,7.4628825,0.0058324905,0.003153025,-0.0015361309,0.0013164281845092773,0.002023037633334618,True
72019,11,1.3174443,1.7057855,2,2,48.052032,135.57373,0.20150894,63.427246,1.7087079,1.3240224,41.0,15.0,1.0,7.0,0.01708054,0.02194022,6.805078,0.006774222,0.0028245673,0.0029224157,0.00657808780670166,0.007198038120435134,True
72020,11,-1.7391722,-2.2616856,2,2,79.644646,395.4045,0.13083526,102.40097,-2.2566235,-1.7407336,36.0,18.0,1.0,9.0,0.018830553,0.011163734,6.4395566,0.0041424534,0.0026607893,0.0050621033,0.0015614032745361328,0.005297439921028361,True
72021,11,-2.3274636,-2.510514,2,2,69.21391,424.4684,0.9153912,81.69621,-2.5092254,-2.3284822,40.0,26.0,1.0,11.0,0.020843577,0.019159548,8.191299,0.0035567314,0.00226271,0.0012886524,0.001018524169921875,0.001642563998009436,True
72021,-11,0.8055691,2.4897413,1,2,69.21391,424.4684,0.9228492,82.093,2.4909453,0.8169594,52.0,22.0,1.0,11.0,0.02977152,0.012072836,9.018435,0.005003125,0.003013336,0.0012040138,0.011390268802642822,0.011453727458166451,True
72022,11,-0.9059575,-2.656354,2,2,53.192204,382.99704,0.82114404,71.040985,-2.6494274,-0.9086885,52.0,26.0,1.0,11.0,0.034599196,0.026332665,14.93227,0.0051771626,0.0028156203,0.0069265366,0.0027309656143188477,0.007445473859663034,True
72022,-11,2.2261767,2.6685016,1,2,53.192204,382.99704,0.79301584,71.22157,2.6620464,2.2193048,50.0,27.0,1.0,17.0,0.03565364,0.029963948,12.017577,0.005153779,0.003934413,-0.006455183,0.006871938705444336,0.009428304672630155,True
72023,-11,1.556529,2.8293307,1,2,75.62835,632.8901,0.9778458,83.55157,2.820546,1.532931,50.0,30.0,1.0,13.0,0.03870159,0.015711922,15.248324,0.0047002216,0.0037437326,-0.008784771,0.023598074913024902,0.025180177599234094,True
72023,11,-1.5794518,-2.7989547,2,2,75.62835,632.8901,0.45596954,73.5259,-2.815866,-1.602844,52.0,38.0,1.0,7.0,0.043672897,0.010783823,23.32332,0.005092047,0.0016436125,-0.016911268,0.023392200469970703,0.02886496223280928,True
72027,11,-2.829139,-1.6959516,2,2,76.41157,216.18597,0.39301184,85.8734,-1.6971304,-2.829676,41.0,14.0,1.0,7.0,0.011314471,0.01285603,7.0443206,0.004615325,0.002637943,-0.0011788607,0.0005369186401367188,0.0012953741073175758,True
72027,-11,0.2947008,1.7047887,1,2,76.41157,216.18597,0.71986496,78.62576,1.7059261,0.2867304,35.0,15.0,1.0,7.0,0.0126664,0.016939348,6.0057726,0.00507226,0.0028713758,0.0011373758,0.00797039270401001,0.008051135548743546,True
72030,11,1.0108002,-1.4998553,2,2,25.666435,61.439846,0.91671365,29.156195,-1.5041026,1.0116162,27.0,14.0,1.0,11.0,0.013708477,0.013011533,5.4445605,0.0069043334,0.0026995281,-0.004247308,0.0008159875869750977,0.004324980858333396,True
72030,-11,-2.1951318,1.539418,1,2,25.666435,61.439846,0.3831213,29.977243,1.5401943,-2.1980977,41.0,14.0,1.0,7.0,0.010176691,0.019485086,7.8119354,0.0050663226,0.00279529,0.0007762909,0.0029659271240234375,0.00306583614311559,True
72032,-11,-2.7251909,1.9875362,1,2,92.068375,344.34055,0.6654884,118.462494,1.9900922,-2.7244422,49.0,35.0,1.0,11.0,0.015968535,0.013748887,10.097544,0.0045877546,0.0024985021,0.0025559664,0.0007486343383789062,0.0026633470446158704,True
72032,11,0.42720905,-2.000269,2,2,92.068375,344.34055,0.3146513,115.794624,-2.00161,0.42482066,40.0,26.0,1.0,11.0,0.020479254,0.019239252,9.915081,0.005873759,0.0033077411,-0.0013411045,0.00238838791847229,0.0027391528055502367,True
72034,-11,-3.0556338,2.430082,1,2,76.08025,429.4903,0.1980108,90.97179,2.4343433,-3.057012,44.0,21.0,1.0,9.0,0.024065636,0.023221688,9.857813,0.0043132915,0.0036718755,0.0042612553,0.0013782978057861328,0.004478615992911698,True
