entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,810406,11,-1.1481836,1.6473753,1,2,18.830015,51.162106,0.38824862
0,1,810406,-11,1.9177531,-1.6671277,2,2,18.830015,51.162106,0.19699602
1,0,810408,11,-1.8428046,2.0221272,1,2,14.846765,57.335556,0.7251068
1,1,810408,-11,1.2337899,-2.0324135,2,2,14.846765,57.335556,0.8139207
2,0,810403,11,-0.7699152,1.6443995,1,2,75.30015,201.89761,0.19869639
2,1,810403,-11,2.352456,-1.6409973,2,2,75.30015,201.89761,0.023295991
3,0,810401,11,0.15931238,2.02139,1,2,72.252594,279.90942,0.6643648
3,1,810401,-11,-2.995605,-2.039424,2,2,72.252594,279.90942,0.23978603
4,0,810405,11,-1.454361,2.0525262,1,2,62.04105,243.00558,0.4437465
4,1,810405,-11,1.6719044,-2.0310729,2,2,62.04105,243.00558,0.46947896
5,0,810402,11,-1.5407277,1.7626009,1,2,76.16399,226.88792,0.23986599
5,1,810402,-11,1.5839972,-1.7480276,2,2,76.16399,226.88792,0.5783796
6,0,810404,11,1.4681063,2.14413,1,2,24.107454,107.230385,0.31588945
6,1,810404,-11,-1.7079058,-2.2023265,2,2,24.107454,107.230385,0.15065975
7,0,810407,11,0.20913516,2.3971035,1,2,22.329216,123.244125,0.063907035
7,1,810407,-11,-2.9621232,-2.389204,2,2,22.329216,123.244125,0.8604304
8,0,810409,11,2.1507761,2.449474,1,2,42.696693,246.75171,0.48533487
8,1,810409,-11,-1.0056309,-2.430315,2,2,42.696693,246.75171,0.29792115
9,0,810411,11,-1.0167477,1.6998458,1,2,64.09909,181.10597,0.46037096
10,0,810410,11,-0.6914663,2.1301734,1,2,53.882446,227.70235,0.9994017
10,1,810410,-11,2.4338374,-2.1101158,2,2,53.882446,227.70235,0.14706215
11,0,810413,11,2.7256508,1.7758106,1,2,80.8557,245.34372,0.7444618
11,1,810413,-11,-0.4314781,-1.7738315,2,2,80.8557,245.34372,0.86333424
12,0,810418,11,1.0866456,1.9092127,1,2,51.180946,176.30289,0.20536898
12,1,810418,-11,-2.0762687,-1.9072568,2,2,51.180946,176.30289,0.6431645
