event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
7004,211,2.8733363,1.6613934,2,2,62.659016,170.5204,-1.0,33.627556,1.6624365,2.8734047,35.0,11.0,5.0,35.0,0.008902005,0.00906826,25.413317,0.0037589564,0.0033782416,-0.5594538,0.0,0.0010430813,6.842613220214844e-05,0.001045323224106965,True
7014,-211,-1.439318,-2.2915149,1,2,18.400866,94.662415,-1.0,11.665527,-2.292618,-1.4390322,42.0,11.0,3.0,44.0,0.0197935,0.024943747,41.37234,0.0040854705,0.003722043,-0.5984715,0.0,-0.0011031628,0.00028574466705322266,0.0011395692366407625,True
7016,-211,-2.699507,-1.6099937,1,2,46.786427,120.777725,-1.0,40.298744,-1.6098582,-2.6961102,7.0,7.0,34.0,36.0,0.0082367305,0.0082168905,5.9045086,0.0036969108,0.0035365105,-0.62988204,0.0,0.00013554096,0.003396749496459961,0.0033994526756729996,True
7016,211,0.40973583,1.5935388,2,2,46.786427,120.777725,-1.0,27.353256,1.5935149,0.4088259,35.0,14.0,5.0,13.0,0.0073475926,0.009212833,16.765924,0.0033930573,0.0029775628,0.112154245,1.0,-2.3841858e-05,0.0009099245071411133,0.0009102368059382163,True
7019,211,3.0754557,1.4628891,2,2,73.90045,166.50906,-1.0,71.63321,1.4702578,3.063053,6.0,6.0,43.0,44.0,8.806724e-08,0.0,12.082128,4.4861906e-08,0.0,-999.0,1.0,0.007368684,0.012402772903442383,0.014426582240445244,True
7022,211,0.9791368,-2.9059386,2,2,59.776394,538.31384,-1.0,57.184498,-2.9000018,0.97301084,41.0,12.0,1.0,17.0,0.04001489,0.043547858,20.969095,0.004470776,0.003950701,0.049866114,0.0,0.005936861,0.006125986576080322,0.008530769548887316,True
7022,-211,-2.1556768,2.8701534,1,2,59.776394,538.31384,-1.0,56.415123,2.88216,-2.1595898,40.0,11.0,3.0,31.0,0.031177977,0.030001307,17.900568,0.0035271398,0.0032440624,-0.45406243,0.0,0.012006521,0.003912925720214844,0.012628045861864329,True
7025,211,1.718177,1.8189061,2,2,89.95708,285.2404,-1.0,52.492744,1.8212354,1.71808,36.0,22.0,1.0,31.0,0.013731422,0.014906362,16.367096,0.0048062545,0.0041138977,-0.6272288,0.0,0.0023293495,9.691715240478516e-05,0.002331364811271586,True
7033,211,1.7757391,-2.5457165,2,2,48.602947,308.63657,-1.0,32.161118,-2.5447106,1.7753805,37.0,11.0,5.0,27.0,0.02557207,0.024750788,28.969126,0.0040839487,0.0036711604,-0.6216858,0.0,0.001005888,0.00035858154296875,0.0010678910548101233,True
7035,211,-0.7466413,-1.7337611,2,2,53.220524,156.7532,-1.0,27.880219,-1.7333058,-0.7451396,33.0,14.0,3.0,9.0,0.010664499,0.011703324,17.25663,0.0041413456,0.0036901012,-0.014089278,1.0,0.00045526028,0.0015016794204711914,0.0015691727124487085,True
7035,-211,2.4193676,1.7528442,1,2,53.220524,156.7532,-1.0,30.873182,1.7525632,2.4183912,29.0,13.0,5.0,13.0,0.01201278,0.0121572465,9.012325,0.0045427037,0.0042595225,-0.43619847,0.0,-0.0002809763,0.0009763240814208984,0.0010159509784330519,True
7036,211,2.1947625,-2.5331724,2,2,57.737133,363.26666,-1.0,35.419724,-2.5377543,2.195714,39.0,11.0,1.0,35.0,0.025783703,0.02695704,27.094637,0.00412668,0.0036441989,-0.5115476,0.0,-0.0045819283,0.0009515285491943359,0.004679687261964284,True
7036,-211,-0.936828,2.5189042,1,2,57.737133,363.26666,-1.0,38.005276,2.5152962,-0.93419063,38.0,14.0,3.0,13.0,0.028243562,0.027753672,22.187586,0.0046649687,0.0036377688,0.031067792,1.0,-0.0036079884,0.0026373863220214844,0.004469159540412783,True
