event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
19913,211,1.1797873,-2.1027653,2,2,58.87303,251.65031,-1.0,75.776764,-2.1048875,1.1796529,36.0,6.0,9.0,30.0,0.013311813,0.010348169,28.608183,0.003369707,0.0029693206,-0.5995415,0.0,-0.0021221638,0.00013434886932373047,0.0021264121518437787,True
19913,-211,-1.9471,2.1618633,1,2,58.87303,251.65031,-1.0,37.20903,2.1598673,-1.9423667,11.0,11.0,29.0,32.0,0.0154988235,0.016476657,11.932776,0.0037129864,0.0036743686,-0.6256036,0.0,-0.0019960403,0.00473332405090332,0.005136977090340845,True
19916,211,-2.8358636,-2.729017,2,2,6.9116077,53.190254,-1.0,6.247156,-2.7324114,-2.8544457,34.0,5.0,5.0,36.0,0.039005335,0.0361713,26.360071,0.0051519144,0.0042728563,-0.5094628,0.0,-0.0033943653,0.01858210563659668,0.018889583535637168,True
19929,211,-2.1492438,-1.9636228,2,2,77.03996,279.753,-1.0,71.91604,-1.964084,-2.149,40.0,10.0,1.0,21.0,0.011728755,0.012227579,10.259775,0.0034864964,0.0031083857,0.070354834,1.0,-0.00046122074,0.00024390220642089844,0.0005217402212561827,True
19933,-211,-2.6426945,-2.063858,1,2,93.77346,379.98413,-1.0,82.082405,-2.0653281,-2.6447513,12.0,11.0,27.0,29.0,0.0135928,0.015740955,8.589142,0.0036067057,0.0034284445,-0.5895618,0.0,-0.001470089,0.0020568370819091797,0.002528189140101392,True
19933,211,0.48912692,2.0899546,2,2,93.77346,379.98413,-1.0,74.97704,2.0877764,0.48948672,15.0,11.0,21.0,29.0,0.01601115,0.014563972,10.054103,0.0041558724,0.0036730126,-0.6256036,0.0,-0.0021781921,0.0003598034381866455,0.0022077091083525673,True
19939,-211,-2.567411,2.953483,1,2,54.40301,523.49677,-1.0,51.815815,2.9480867,-2.5638251,40.0,10.0,7.0,43.0,0.017441034,0.031479064,31.683277,0.0018624978,0.0016562013,-0.5400399,0.0,-0.005396366,0.0035858154296875,0.006479107914123291,True
19941,211,1.2447695,-2.7556117,2,2,73.035034,575.77155,-1.0,73.002625,-2.7535985,1.2454462,38.0,12.0,1.0,32.0,0.027527086,0.027947465,12.165548,0.0035221654,0.0032663639,-0.3593745,0.0,0.0020132065,0.0006767511367797852,0.0021239097061862516,True
19947,-211,1.3690124,-2.2310615,1,2,77.78045,360.2818,-1.0,46.95612,-2.228594,1.3710592,41.0,12.0,3.0,27.0,0.019704662,0.022513762,29.459513,0.0043798396,0.0036135735,-0.50829244,0.0,0.0024673939,0.002046823501586914,0.0032058569719803478,True
19947,211,-1.7828122,2.1978083,2,2,77.78045,360.2818,-1.0,71.326355,2.2032318,-1.7847047,39.0,13.0,7.0,39.0,0.015542267,0.016902458,19.782564,0.003556543,0.003022106,-0.38760462,0.0,0.005423546,0.0018924474716186523,0.00574423240944736,True
19949,211,-2.4295802,-1.6908059,2,2,85.566574,234.1937,-1.0,64.80454,-1.6898825,-2.4291117,37.0,23.0,1.0,13.0,0.0108364085,0.010459333,20.260418,0.004425088,0.0036133863,-0.29285178,0.0,0.00092339516,0.0004684925079345703,0.0010354437916680831,True
19949,-211,0.7285248,1.6396538,1,2,85.566574,234.1937,-1.0,37.22559,1.6274182,0.75853956,11.0,7.0,40.0,43.0,0.0024455206,0.0035269205,18.735931,0.0010712559,0.00047798897,-0.588162,0.0,-0.0122356415,0.030014753341674805,0.032412903864638076,True
19953,-211,-1.6405776,1.4984714,1,2,95.04845,221.35939,-1.0,18.698153,1.4702578,-1.6493361,5.0,5.0,41.0,41.0,9.904542e-08,0.0,11.50904,7.5581774e-08,7.993831e-09,-999.0,1.0,-0.02821362,0.008758544921875,0.029541843182030153,True
19953,211,1.4829941,-1.4794639,2,2,95.04845,221.35939,-1.0,65.693825,-1.4703766,1.4922702,47.0,7.0,3.0,44.0,0.00066403934,7.749715e-05,17.441525,0.0003513498,1.2197263e-08,-999.0,1.0,0.009087324,0.009276151657104492,0.012985624850659098,True
19956,211,1.617024,-2.2695065,2,2,11.436969,55.437103,-1.0,7.253031,-2.263398,1.5985166,36.0,2.0,7.0,41.0,0.022265349,0.014949409,28.297667,0.0047295876,0.0044236663,-0.6618059,0.0,0.0061085224,0.01850736141204834,0.01948939385744477,True
19958,211,-2.5523498,-2.8521836,2,2,98.97901,856.96124,-1.0,76.89995,-2.8524022,-2.5543768,34.0,16.0,19.0,52.0,0.033809103,0.030021194,36.129005,0.003952565,0.0029831545,-0.5196761,0.0,-0.00021862984,0.0020270347595214844,0.002038791044209967,True
19958,-211,0.593478,2.8443937,1,2,98.97901,856.96124,-1.0,82.394264,2.8449342,0.5849382,31.0,20.0,7.0,17.0,0.03571435,0.03528871,17.691198,0.00419743,0.0037697235,-0.3987085,0.0,0.0005404949,0.008539795875549316,0.008556883098028326,True
19962,211,-2.250089,-2.8178308,2,2,11.073262,91.78199,-1.0,6.00004,-2.787844,-2.2621937,37.0,7.0,1.0,3.0,0.05820808,0.05418781,19.292097,0.0071339007,0.005476042,-0.5784661,0.0,0.029986858,0.01210474967956543,0.03233785155190792,True
19968,-211,-1.646999,-1.7702386,1,2,50.038483,154.25026,-1.0,46.890434,-1.7728666,-1.6475202,31.0,9.0,5.0,21.0,0.0097155515,0.01024258,9.5118265,0.0035758521,0.0030737186,-0.11028317,0.0,-0.0026279688,0.0005211830139160156,0.00267915127560419,True
19968,211,1.4699341,1.8133912,2,2,50.038483,154.25026,-1.0,37.777264,1.8105289,1.4713242,25.0,11.0,3.0,13.0,0.011859667,0.011554631,4.885003,0.004222076,0.0032939245,0.1621712,1.0,-0.0028623343,0.0013900995254516602,0.003182033022596767,True
19971,-211,1.9999484,-1.4823108,1,2,44.66457,103.8992,-1.0,41.754852,-1.4702578,2.0158553,5.0,5.0,41.0,42.0,7.087183e-08,0.0,7.9399533,6.079714e-08,7.148722e-09,-999.0,1.0,0.012053013,0.015906929969787598,0.019957593485413407,True
19973,-211,-0.45448753,-2.7222888,1,2,16.047226,121.74396,-1.0,10.734569,-2.73049,-0.4669527,37.0,13.0,3.0,13.0,0.036555715,0.03671906,12.018167,0.0047346354,0.003998804,-0.0007243441,0.0,-0.008201122,0.012465178966522217,0.014921095574927412,True
19973,211,2.65729,2.708153,2,2,16.047226,121.74396,-1.0,14.164646,2.713918,2.6662896,17.0,9.0,5.0,13.0,0.03930599,0.038499884,3.887183,0.005205986,0.004397757,-0.30533886,0.0,0.0057649612,0.00899958610534668,0.010687718525841154,True
19975,211,-1.1496836,2.0452726,2,2,44.453934,174.23521,-1.0,39.68643,2.0470233,-1.1516815,37.0,9.0,3.0,32.0,0.016719898,0.017378638,14.086219,0.0045389845,0.004089496,-0.60782766,0.0,0.0017507076,0.0019979476928710938,0.00265645856725458,True
19978,211,-2.1575344,-2.308207,2,2,62.298325,311.5689,-1.0,58.655724,-2.3045487,-2.1557846,32.0,15.0,7.0,31.0,0.017884463,0.017599192,12.668487,0.0036685048,0.0033249068,-0.47493276,0.0,0.0036582947,0.0017497539520263672,0.00405521378496517,True
19978,-211,0.995801,2.2774255,1,2,62.298325,311.5689,-1.0,57.100254,2.2787995,0.9991679,36.0,10.0,3.0,29.0,0.016235683,0.013636334,16.738808,0.0034061726,0.0032198587,-0.4658885,0.0,0.0013740063,0.0033669471740722656,0.0036365129519764865,True
