entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,890966,11,0.1836779,2.2439148,1,2,21.844675,101.56682,0.9422858
0,1,890966,-11,-2.9942236,-2.1931555,2,2,21.844675,101.56682,0.97696835
1,0,890970,11,-1.0828037,1.6659474,1,2,74.97298,203.1404,0.8639921
1,1,890970,-11,2.0397391,-1.6422125,2,2,74.97298,203.1404,0.21806408
2,0,890967,11,-1.6685892,1.8628916,1,2,49.815205,164.1598,0.8558203
2,1,890967,-11,1.449961,-1.8607671,2,2,49.815205,164.1598,0.2562075
3,0,890963,11,3.120739,1.9319198,1,2,55.867214,201.09343,0.22279288
3,1,890963,-11,-0.03950242,-1.9767919,2,2,55.867214,201.09343,0.5885158
4,0,890965,11,-3.1063657,1.6432371,1,2,63.27654,168.53679,0.12789524
4,1,890965,-11,0.012174274,-1.6279227,2,2,63.27654,168.53679,0.043944154
5,0,890969,11,2.902461,2.2380264,1,2,31.168531,145.33112,0.9290044
5,1,890969,-11,-0.26449212,-2.2044291,2,2,31.168531,145.33112,0.44241917
6,0,890968,11,-1.312097,2.509591,1,2,5.8115296,36.069767,0.7760181
6,1,890968,-11,1.7284071,-2.5156686,2,2,5.8115296,36.069767,0.43112996
7,0,890962,11,-2.6259859,2.1220875,1,2,65.8188,277.54324,0.83752775
7,1,890962,-11,0.5022524,-2.113651,2,2,65.8188,277.54324,0.30843848
8,0,890973,11,-1.153995,2.6467447,1,2,18.114073,127.650085,0.91975796
8,1,890973,-11,1.9592049,-2.6347172,2,2,18.114073,127.650085,0.78159475
9,0,890976,11,0.13812801,1.6902565,1,2,40.948658,115.76831,0.7880083
9,1,890976,-11,-3.0366964,-1.7090616,2,2,40.948658,115.76831,0.53509116
10,0,890974,11,0.5782376,2.4519694,1,2,33.968517,198.25365,0.02321819
10,1,890974,-11,-2.5817716,-2.4477413,2,2,33.968517,198.25365,0.53194463
11,0,890975,11,0.50761807,1.7184939,1,2,61.251007,177.3145,0.9447562
11,1,890975,-11,-2.65561,-1.7312498,2,2,61.251007,177.3145,0.49303842
12,0,890977,11,1.393945,1.8817611,1,2,69.21436,229.41615,0.9616041
12,1,890977,-11,-1.7640849,-1.8542819,2,2,69.21436,229.41615,0.4907393
13,0,890972,11,0.31510714,2.7375076,1,2,52.01765,403.30447,0.9159685
13,1,890972,-11,-2.8354337,-2.736641,2,2,52.01765,403.30447,0.56917846
14,0,890971,11,-0.60089195,2.251662,1,2,87.85899,416.70615,0.14327267
14,1,890971,-11,2.5318627,-2.2255106,2,2,87.85899,416.70615,0.47787866
15,0,890980,11,-0.7214676,2.175039,1,2,26.39297,120.64748,0.92433536
15,1,890980,-11,2.3896036,-2.227245,2,2,26.39297,120.64748,0.47003594
16,0,890983,11,-2.0049977,1.8439603,1,2,9.23994,29.853922,0.34803617
16,1,890983,-11,1.009825,-1.8394707,2,2,9.23994,29.853922,0.12400027
17,0,890981,11,1.4090219,2.2304363,1,2,15.447866,74.16374,0.9247069
17,1,890981,-11,-1.7821848,-2.2720761,2,2,15.447866,74.16374,0.4176317
18,0,890961,11,0.20928968,2.7682164,1,2,79.51766,622.2083,0.46319133
18,1,890961,-11,-2.9381483,-2.7249353,2,2,79.51766,622.2083,0.82986426
19,0,890979,11,2.179702,1.8099371,1,2,88.37906,274.1543,0.7773538
