event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
40,-211,2.5176916,-2.388582,1,2,73.79112,402.64798,-1.0,43.279907,-2.3960345,2.5191405,37,11,3,29,0.024959568,0.020422671,14.22512,0.0045851977,0.0038059698,-0.6525989,0,-0.007452488,0.0014488697052001953,0.007592022233432254,True
41,211,1.376891,2.5032735,2,2,42.21741,259.85318,-1.0,27.092213,2.5007784,1.3726363,36,14,1,21,0.023050178,0.026710171,12.364514,0.0038297514,0.0034610133,0.05501731,1,-0.0024950504,0.004254698753356934,0.004932315690900484,True
42,211,-1.5278001,-2.4776318,2,2,43.376293,263.79953,-1.0,22.172369,-2.4753308,-1.5274549,34,13,3,17,0.02378229,0.022603534,9.134798,0.004038388,0.0037847918,-0.03465104,0,0.0023009777,0.0003452301025390625,0.0023267320805259767,True
42,-211,1.6275434,2.50578,1,2,43.376293,263.79953,-1.0,29.814203,2.5000265,1.6264963,31,8,5,29,0.030262973,0.024268836,7.131908,0.0050896257,0.00451714,-0.71061623,0,-0.005753517,0.0010471343994140625,0.005848029509706605,True
43,211,-1.1034737,2.7819722,2,2,61.477386,498.45786,-1.0,28.605297,2.7854908,-1.0980241,50,7,3,29,0.035697762,0.0359602,66.78341,0.004390553,0.003420705,-0.52079177,0,0.0035185814,0.005449533462524414,0.006486742613402674,True
43,-211,2.0453157,-2.7823763,1,2,61.477386,498.45786,-1.0,34.15445,-2.7830598,2.0429199,40,13,3,29,0.039666068,0.038816243,18.186666,0.0049924427,0.0043721064,-0.47867712,0,-0.00068354607,0.0023958683013916016,0.0024914694744960562,True
49,211,-2.5055702,-2.5398753,2,2,10.306473,65.55939,-1.0,6.7008324,-2.5337095,-2.5112581,23,5,7,23,0.022182899,0.022082167,8.174396,0.0035690204,0.003254717,-0.52202064,0,0.006165743,0.0056879520416259766,0.008388634107936032,True
49,-211,0.69142187,2.5345714,1,2,10.306473,65.55939,-1.0,5.385387,2.5073655,0.70387876,36,3,5,39,0.030811753,0.02670409,39.054176,0.0049496354,0.0036132806,-0.686489,0,-0.027205944,0.012456893920898438,0.029922192159711255,True
50,-211,2.4203794,2.5347655,1,2,45.38774,293.3036,-1.0,32.8394,2.5398176,2.4201965,30,11,7,31,0.02611093,0.02196672,11.395776,0.0041823876,0.0037591665,-0.6525989,0,0.0050520897,0.00018286705017089844,0.005055398142402929,True
50,211,-0.733602,-2.5717454,2,2,45.38774,293.3036,-1.0,41.73056,-2.56601,-0.7360425,11,8,34,37,0.018674403,0.016344162,11.244577,0.0029193168,0.0026074252,-0.60237867,0,0.0057353973,0.002440512180328369,0.006233047596241821,True
51,-211,-2.1632643,-1.7593795,1,2,25.048082,75.312805,-1.0,8.685235,-1.7645146,-2.1605177,40,10,9,13,0.013102855,0.012007455,36.829224,0.0048987214,0.0038138262,-0.16480035,0,-0.0051350594,0.00274658203125,0.005823448052806482,True
51,211,0.92777777,1.771106,2,2,25.048082,75.312805,-1.0,5.533656,1.8154498,0.9325712,1,1,29,29,0.0,0.0,0.0,0.0,0.0,-0.68393934,0,0.04434383,0.004793405532836914,0.04460215124522504,True
62,211,2.0056272,1.8853672,2,2,48.969307,163.6614,-1.0,29.639956,1.886635,2.003879,17,9,3,11,0.015055498,0.014764695,4.203681,0.0049078376,0.004503122,-0.6024302,0,0.0012677908,0.0017480850219726562,0.002159419998085155,True
62,-211,-1.112975,-1.8679216,1,2,48.969307,163.6614,-1.0,27.636847,-1.8698119,-1.1103222,49,7,3,34,0.009660688,0.011768103,16.652271,0.003207365,0.0030268324,-0.60237867,0,-0.0018903017,0.002652764320373535,0.00325736075050324,True
64,-211,1.8090512,1.7702298,1,2,24.365652,74.5363,-1.0,11.226321,1.7741935,1.8121858,31,8,1,1,0.011789069,0.015626788,10.041504,0.004313172,0.0035749848,-0.45832404,0,0.003963709,0.003134608268737793,0.005053390644673281,True
64,211,-1.3835075,-1.7969918,2,2,24.365652,74.5363,-1.0,10.514647,-1.7983971,-1.3851963,26,7,7,11,0.010404373,0.0101986835,11.411848,0.003733286,0.0034711794,-0.20678161,0,-0.0014052391,0.001688838005065918,0.002197014053256713,True
65,211,0.059570216,-2.598009,2,2,26.08202,177.38959,-1.0,21.064962,-2.5960696,0.06292298,31,10,7,29,0.025216047,0.025934903,10.724581,0.0038212135,0.0032791712,-0.5888111,0,0.0019395351,0.0033527612686157227,0.0038733454055410663,True
67,-211,-0.67266136,-2.0444396,1,2,57.33242,221.30736,-1.0,42.00469,-2.0404344,-0.67257464,19,7,25,40,0.009819021,0.011649231,9.267447,0.0026856156,0.00235579,-0.6806238,0,0.0040051937,8.672475814819336e-05,0.004006132522031266,True
67,211,2.4521706,2.0091593,2,2,57.33242,221.30736,-1.0,22.730862,2.0094419,2.4465315,22,6,19,33,0.015497475,0.016723348,13.449996,0.004396702,0.0032863696,-0.60237867,0,0.00028252602,0.005639076232910156,0.005646149281627436,True
68,211,2.1925755,-1.663735,2,2,7.4861727,20.12591,-1.0,4.66079,-1.6633711,2.1814795,3,3,31,32,0.0054689175,0.0061060977,3.3826914,0.0023025859,0.0021283403,-0.6851734,0,0.00036394596,0.011096000671386719,0.011101967733782227,True
68,-211,-0.75687987,1.630565,1,2,7.4861727,20.12591,-1.0,5.791007,1.6292055,-0.7403122,5,5,29,33,0.0067705447,0.008610293,7.4052625,0.0029682256,0.0023980443,-0.6655164,0,-0.001359582,0.016567647457122803,0.016623339174810618,True
71,-211,0.9117216,-1.9309462,1,2,39.832355,137.08083,-1.0,20.641691,-1.9276533,0.91635245,42,9,3,32,0.011638798,0.016364088,14.825077,0.0036099493,0.0032981955,-0.60237867,0,0.0032929182,0.004630863666534424,0.005682271448789851,True
75,211,-0.28945866,-1.7599598,2,2,43.116016,131.94643,-1.0,23.725512,-1.7600899,-0.28705627,34,14,5,19,0.0127134025,0.011989521,11.833666,0.0047865966,0.0040458064,-0.3898802,0,-0.00013005733,0.002402395009994507,0.0024059128609340307,True
79,-211,-0.17435955,2.9534986,1,2,23.999098,229.94238,-1.0,16.428762,2.94641,-0.17151481,48,8,1,31,0.036258105,0.038734507,33.353043,0.0039318968,0.0030213313,-0.52079177,0,-0.007088661,0.0028447359800338745,0.007638169899116297,True
79,211,2.9515612,-2.9469829,2,2,23.999098,229.94238,-1.0,28.023958,-2.9427912,2.9448254,39,10,1,34,0.023907417,0.03184737,17.893608,0.0025507582,0.0022122518,-0.547186,0,0.004191637,0.006735801696777344,0.007933526646768243,True
81,211,0.24296883,-1.7135035,2,2,94.42952,266.37344,-1.0,38.798237,-1.7111814,0.2418042,40,14,5,23,0.010799171,0.011772621,31.06588,0.004300892,0.0032577403,-0.31728423,0,0.0023220778,0.0011646300554275513,0.0025977699015884265,True
83,-211,-2.173732,1.8928322,1,2,67.77987,228.34586,-1.0,34.805626,1.8948795,-2.1731062,35,13,3,11,0.014266098,0.0123108355,11.227826,0.0045967842,0.0042285137,-0.3464836,0,0.0020473003,0.0006258487701416016,0.0021408235105375237,True
83,211,0.95143914,-1.8771609,2,2,67.77987,228.34586,-1.0,55.40724,-1.8780377,0.9483677,13,7,32,35,0.009990027,0.0089259995,9.652421,0.0032669264,0.0031934332,-0.60237867,0,-0.0008767843,0.003071427345275879,0.0031941222072805094,True
93,211,-1.6492798,-1.5116675,2,2,10.000573,23.306732,-1.0,3.6221726,-1.505152,-1.6577678,13,5,9,9,0.0088714175,0.006526533,4.322658,0.004566036,0.0035878022,-0.27888405,0,0.006515503,0.008487939834594727,0.01070032247469516,True
95,-211,1.8969092,1.906512,1,2,77.68577,267.12964,-1.0,39.015617,1.9078977,1.8969601,32,10,11,38,0.012272285,0.011257059,30.695992,0.0038930636,0.0030815543,-0.5903262,0,0.0013856888,5.0902366638183594e-05,0.0013866233990398006,True
98,-211,-0.44940758,-1.8649925,1,2,30.895138,101.14724,-1.0,27.86077,-1.8664517,-0.44746268,14,9,19,29,0.009519166,0.012152369,6.322771,0.0031471807,0.003009541,-0.600897,0,-0.0014592409,0.001944899559020996,0.002431464234526953,True
98,211,2.6549354,1.8451104,2,2,30.895138,101.14724,-1.0,6.712588,1.8495278,2.6457572,35,4,3,37,0.010059081,0.009769987,17.56629,0.0034018336,0.0024249312,-0.6655164,0,0.0044174194,0.00917816162109375,0.010185884605433638,True
100,-211,0.29882985,2.5336168,1,2,42.6214,262.66907,-1.0,14.878173,2.533213,0.3045957,28,12,11,37,0.025601441,0.030350795,22.51631,0.004113742,0.003875421,-0.6078752,0,-0.00040388107,0.005765855312347412,0.005779983339426761,True
101,-211,-0.32901353,-2.1290517,1,2,61.897152,262.92572,-1.0,20.51071,-2.1270287,-0.32540742,15,7,36,41,0.01631952,0.016172534,27.16916,0.004079544,0.0029458357,-0.6150287,0,0.0020229816,0.0036061108112335205,0.004134790182911943,True
101,211,2.798524,2.121763,2,2,61.897152,262.92572,-1.0,56.60028,2.1225622,2.7998557,39,20,3,30,0.016112229,0.012704372,23.414053,0.004035549,0.0032714861,-0.6168498,0,0.0007991791,0.0013318061828613281,0.0015531886253959916,True
107,211,-2.382128,2.7599504,2,2,87.836,699.9122,-1.0,50.091343,2.7589138,-2.3843336,40,12,3,36,0.03405226,0.030953476,19.543884,0.004336212,0.0038302226,-0.50268406,0,-0.001036644,0.0022056102752685547,0.002437077641694939,True
107,-211,0.76456165,-2.7694147,1,2,87.836,699.9122,-1.0,57.09604,-2.7666922,0.76575184,29,20,11,29,0.028480977,0.026988113,18.302559,0.003642876,0.0031792466,-0.5736416,0,0.0027225018,0.001190185546875,0.0029712888422067023,True
108,-211,2.5373545,2.2712293,1,2,14.116459,69.04774,-1.0,10.127005,2.2670405,2.5368934,30,5,7,35,0.014748404,0.01653874,11.509973,0.003127132,0.0023595693,-0.6806238,0,-0.004188776,0.0004611015319824219,0.004214078675124804,True
108,211,-0.6572911,-2.2689729,2,2,14.116459,69.04774,-1.0,5.9085274,-2.2712572,-0.656261,31,5,5,13,0.013773152,0.022428412,14.315155,0.0029249175,0.0027174074,-0.15712026,0,-0.0022842884,0.0010300874710083008,0.002505803995641062,True
114,211,0.8313881,-1.4439237,2,2,41.01335,92.04235,-1.0,14.877853,-1.4398233,0.80784416,6,4,40,43,0.009532407,0.00259246,8.824493,0.005373337,0.0,-999.0,1,0.004100442,0.023543953895568848,0.023898355379848513,True
115,211,2.438107,2.5702379,2,2,67.85826,446.34265,-1.0,37.80709,2.5681686,2.435564,12,9,34,37,0.0230383,0.020467434,12.196911,0.0036137572,0.002976378,-0.60237867,0,-0.0020692348,0.0025429725646972656,0.003278481701066838,True
115,-211,-0.695416,-2.571736,1,2,67.85826,446.34265,-1.0,49.732647,-2.572925,-0.6937183,37,12,5,33,0.025066055,0.026325183,18.66998,0.0038297025,0.0032522052,-0.46639925,0,-0.0011889935,0.0016976594924926758,0.0020726198708912237,True
118,-211,-1.2279274,1.4436703,1,2,56.40014,126.410194,-1.0,3.291006,1.449887,-1.2435472,2,2,43,43,0.008298029,0.0,4.0889,0.0045885053,0.0,-999.0,1,0.0062167645,0.015619754791259766,0.016811451411037993,True
118,211,1.8819182,-1.4489192,2,2,56.40014,126.410194,-1.0,4.4828477,-1.4562968,1.8563783,5,5,40,44,0.008685443,0.004362364,11.6106615,0.004771246,1.586377e-08,-999.0,1,-0.0073776245,0.025539875030517578,0.02658410352090829,True
124,211,-0.5587351,-2.2776008,2,2,54.710827,272.64062,-1.0,15.975856,-2.2808564,-0.55883986,43,8,3,40,0.020350458,0.020733403,27.851294,0.004279864,0.0038409275,-0.70950985,0,-0.0032556057,0.00010478496551513672,0.0032572915575071666,True
124,-211,2.5963006,2.3005884,1,2,54.710827,272.64062,-1.0,23.747696,2.3007004,2.595344,25,17,13,31,0.021915002,0.022069661,15.989045,0.004501079,0.0035139956,-0.5747945,0,0.00011205673,0.0009565353393554688,0.0009630766151569844,True
129,-211,1.13577,1.8293046,1,2,60.39835,187.63846,-1.0,36.26327,1.8220727,1.1366758,12,10,31,36,0.011072132,0.011379759,14.314212,0.003870586,0.0024914506,-0.62220705,0,-0.0072318316,0.0009058713912963867,0.007288346167510441,True
