event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
2002,-211,0.19121946,-2.4855459,1,2,67.1731,403.63208,-1.0,54.636967,-2.485086,0.18732724,43.0,11.0,1.0,33.0,0.02217786,0.026609916,17.811487,0.0037817992,0.0031929766,-0.36672172,0.0,0.00045990944,0.0038922280073165894,0.003919305493719634,True
2002,211,-2.9593997,2.4732623,2,2,67.1731,403.63208,-1.0,40.25229,2.4736905,-2.9579413,42.0,10.0,5.0,41.0,0.022883518,0.021612087,37.98542,0.003926868,0.003449855,-0.6208687,0.0,0.00042819977,0.0014584064483642578,0.001519968555596652,True
2004,211,1.1478395,-2.549365,2,2,15.606345,99.5352,-1.0,11.198767,-2.542233,1.1512022,12.0,6.0,27.0,35.0,0.014589645,0.019515103,9.051833,0.002328239,0.002053881,-0.6305054,0.0,0.0071320534,0.0033626556396484375,0.007885026308758045,True
2004,-211,-1.9572374,2.5303936,1,2,15.606345,99.5352,-1.0,7.5904593,2.522452,-1.9510819,33.0,5.0,7.0,36.0,0.028483776,0.022664534,23.721167,0.004749047,0.0036388657,-0.69056565,0.0,-0.007941484,0.006155490875244141,0.010047748321477076,True
2006,-211,2.499186,-1.6206534,1,2,82.80107,218.52061,-1.0,63.022167,-1.6205828,2.4991252,22.0,9.0,23.0,27.0,0.0070656477,0.008389735,32.61117,0.0031176528,0.0025931161,-0.52640706,0.0,7.05719e-05,6.079673767089844e-05,9.31484637464977e-05,True
2006,211,-0.66019315,1.6305798,2,2,82.80107,218.52061,-1.0,65.163,1.6299117,-0.65968883,25.0,13.0,5.0,17.0,0.0086817555,0.0090309065,6.001478,0.003801005,0.0034824193,-0.086704604,0.0,-0.00066816807,0.0005043148994445801,0.0008371272726384538,True
2007,-211,2.0266461,-2.436296,1,2,13.811596,79.42594,-1.0,5.1605496,-2.435051,2.0217419,7.0,4.0,23.0,29.0,0.018860387,0.027386703,4.9769,0.0032862544,0.0030359598,-0.6416593,0.0,0.0012450218,0.004904270172119141,0.0050598364848662685,True
2012,211,2.7275019,-2.8527017,2,2,70.99518,621.4013,-1.0,53.929966,-2.853153,2.7272475,32.0,15.0,3.0,17.0,0.037655964,0.042736385,12.055257,0.0043831747,0.0039803553,-0.2450588,0.0,-0.00045132637,0.0002543926239013672,0.000518084066121287,True
2015,211,1.7672404,-2.5130372,2,2,43.530956,269.0929,-1.0,31.989178,-2.5118678,1.766889,29.0,13.0,1.0,11.0,0.026494104,0.028795797,7.4388285,0.004371058,0.004151343,-0.20591149,0.0,0.0011694431,0.0003514289855957031,0.001221105855579711,True
2016,211,-0.6348311,-2.2325444,2,2,24.666395,116.27675,-1.0,14.734857,-2.2342956,-0.62975097,19.0,10.0,1.0,11.0,0.026139962,0.027662754,4.1841016,0.0057433154,0.0048618848,-0.50554603,0.0,-0.0017511845,0.005080103874206543,0.005373462788657991,True
