entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
5,1,63309,11,-1.3183941,2.2823958,2,2,13.309644,66.02692,0.6338812
8,0,63320,-11,-2.5655787,-2.7570832,1,2,4.242559,34.164837,0.5297635
8,1,63320,11,0.6818554,2.7948093,2,2,4.242559,34.164837,0.93948567
9,0,63318,-11,-2.0869646,-2.4028425,1,2,15.621522,86.85254,0.9649457
9,1,63318,11,1.0965515,2.398353,2,2,15.621522,86.85254,0.60675114
10,0,63312,-11,2.7869246,-2.458399,1,2,22.062872,130.24364,0.903022
10,1,63312,11,-0.32670927,2.4644861,2,2,22.062872,130.24364,0.054675903
11,0,63321,-11,1.4249016,1.8929584,1,2,21.184805,71.876724,0.8042323
11,1,63321,11,-1.6644636,-1.8919696,2,2,21.184805,71.876724,0.8385291
13,0,63311,-11,1.0847546,-1.4992486,1,2,64.59859,151.35141,0.8957918
13,1,63311,11,-2.030585,1.4919163,2,2,64.59859,151.35141,0.637334
18,0,63335,-11,-1.5466137,-1.5157771,1,2,3.4224322,8.28494,0.24279611
18,1,63335,11,2.07091,1.5656201,2,2,3.4224322,8.28494,0.38879645
19,1,63326,11,0.5186768,2.6179068,2,2,11.014429,76.29391,0.6692291
21,0,63324,-11,2.8515537,1.9663588,1,2,30.371115,110.25106,0.981258
21,1,63324,11,-0.25617644,-1.9595075,2,2,30.371115,110.25106,0.9792281
23,0,63331,-11,-2.8557246,2.649602,1,2,16.391363,117.83166,0.5822975
23,1,63331,11,0.31660604,-2.6721601,2,2,16.391363,117.83166,0.35392562
24,0,63313,-11,0.207425,2.267249,1,2,62.251133,294.96982,0.33460876
24,1,63313,11,-2.9217386,-2.2087147,2,2,62.251133,294.96982,0.08749638
26,0,63341,-11,-0.2424116,1.6494864,1,2,29.894257,82.34888,0.85950655
26,1,63341,11,2.9459665,-1.6947908,2,2,29.894257,82.34888,0.2452312
27,0,63343,-11,2.0293565,-3.035902,1,2,29.535646,302.44223,0.47497255
27,1,63343,11,-1.1002862,2.9985566,2,2,29.535646,302.44223,0.41942814
28,0,63336,-11,-1.7492088,2.1403236,1,2,46.278618,199.52925,0.2882454
28,1,63336,11,1.4108993,-2.141103,2,2,46.278618,199.52925,0.647992
29,0,63339,-11,-2.493316,-2.4623759,1,2,32.67776,189.31877,0.17244531
29,1,63339,11,0.6675235,2.4227679,2,2,32.67776,189.31877,0.23764198
30,0,63338,-11,-3.0881135,-2.3222463,1,2,40.5943,214.41833,0.3206901
30,1,63338,11,0.07050036,2.3752484,2,2,40.5943,214.41833,0.9793075
31,1,63342,11,2.4392734,-1.4520489,2,2,67.93933,152.03603,0.9322727
32,0,63310,-11,-0.9958014,-2.330304,1,2,87.41193,450.32785,0.40094352
32,1,63310,11,2.1539106,2.3156304,2,2,87.41193,450.32785,0.87512326
36,0,63344,-11,-2.3842583,1.5218594,1,2,55.720528,134.52957,0.39641622
36,1,63344,11,0.7866572,-1.5355446,2,2,55.720528,134.52957,0.99615556
38,0,63348,-11,-1.2746971,-1.7198511,1,2,32.65382,93.97979,0.0068097357
38,1,63348,11,1.9076284,1.7175169,2,2,32.65382,93.97979,0.706283
39,0,63351,-11,-1.5911623,1.5717084,1,2,40.464104,101.14609,0.35755184
39,1,63351,11,1.5891405,-1.561732,2,2,40.464104,101.14609,0.44756836
43,0,63337,-11,2.5016294,2.2543325,1,2,87.95704,422.4636,0.9094823
43,1,63337,11,-0.63128936,-2.248452,2,2,87.95704,422.4636,0.48831773
49,0,63345,-11,-2.533262,-2.2810886,1,2,59.703465,291.01993,0.94258696
49,1,63345,11,0.62094206,2.2520628,2,2,59.703465,291.01993,0.5163713
50,0,63359,-11,-2.6470194,2.9160697,1,2,9.9668665,94.17408,0.6177884
50,1,63359,11,0.532799,-2.9569058,2,2,9.9668665,94.17408,0.99862814
51,0,63366,-11,0.9999983,-2.6905804,1,2,3.240009,24.288683,0.07502408
51,1,63366,11,-1.9925715,2.7176552,2,2,3.240009,24.288683,0.34070656
52,0,63368,-11,-2.6318421,-1.4672632,1,2,21.77568,50.27426,0.7565321
52,1,63368,11,0.5890243,1.4919195,2,2,21.77568,50.27426,0.83945143
53,0,63367,-11,-1.7035697,-1.7755656,1,2,20.62273,62.019398,0.078852706
53,1,63367,11,1.4993974,1.755523,2,2,20.62273,62.019398,0.11959391
54,0,63365,-11,1.8410708,1.7719091,1,2,42.858078,129.81934,0.84619135
54,1,63365,11,-1.2712345,-1.7740862,2,2,42.858078,129.81934,0.3567462
55,0,63352,-11,0.7895467,-2.3056636,1,2,54.984962,282.31146,0.2502196
58,0,63362,-11,-1.2397939,-1.7032812,1,2,60.54244,174.93204,0.7194333
58,1,63362,11,1.9236852,1.7428501,2,2,60.54244,174.93204,0.90305394
62,1,63364,11,-0.98306304,-2.144073,2,2,52.447952,226.84438,0.89889246
67,0,63376,-11,2.750775,2.398583,1,2,17.531742,96.833046,0.5838763
67,1,63376,11,-0.35318464,-2.3892078,2,2,17.531742,96.833046,0.723795
68,0,63373,-11,2.4724977,1.7131853,1,2,52.886864,151.00978,0.7929575
68,1,63373,11,-0.64370066,-1.707192,2,2,52.886864,151.00978,0.5166321
70,0,63371,-11,-0.31381738,1.5610117,1,2,78.30435,193.87068,0.47684923
70,1,63371,11,2.8480308,-1.5514549,2,2,78.30435,193.87068,0.94482505
