event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
20540,11,-2.993575,-2.1871245,2,2,56.1334,258.8309,0.93222576,52.51066,-2.1883576,-2.9959311,23.0,12.0,3.0,9.0,0.015249962,0.017713035,5.4140663,0.003540525,0.00330843,0.034945562,1.0,-0.0012331009,0.0023560523986816406,0.0026592331061789,True
20540,-11,0.13382271,2.2326882,1,2,56.1334,258.8309,0.09851966,55.332355,2.2326672,0.13130865,25.0,13.0,1.0,9.0,0.019814838,0.018189164,4.7023435,0.0043711807,0.003930662,-0.043073498,0.0,-2.0980835e-05,0.002514064311981201,0.0025141518570311475,True
20550,-11,1.4587705,-2.285868,1,2,60.08768,293.95258,0.77913773,56.403748,-2.2861943,1.4549161,21.0,11.0,1.0,9.0,0.017011698,0.025020247,4.519367,0.0035453276,0.003327675,0.07549782,1.0,-0.00032639503,0.00385439395904541,0.003868189047895842,True
20552,11,-2.6839542,-1.9919523,2,2,13.219179,48.944054,0.3628305,12.561467,-1.9924252,-2.6754088,15.0,8.0,3.0,5.0,0.0117484685,0.018825253,4.155411,0.0034021784,0.0031507425,-0.3146899,0.0,-0.00047290325,0.008545398712158203,0.008558473966495094,True
20552,-11,0.3815158,1.975392,1,2,13.219179,48.944054,0.32881242,10.891029,1.975247,0.3757798,15.0,8.0,3.0,7.0,0.01301049,0.01768574,4.2828016,0.0038170775,0.0034195404,-0.24635556,1.0,-0.0001449585,0.005735993385314941,0.005737824769193159,True
20553,-11,-2.0320928,-2.3368998,1,2,55.272266,295.65808,0.8266744,58.84551,-2.3385448,-2.0338516,21.0,11.0,1.0,9.0,0.022260198,0.019294988,5.265351,0.004364998,0.0039120866,-0.12388826,0.0,-0.0016450882,0.0017588138580322266,0.002408265217780067,True
20553,11,1.1218059,2.3862042,2,2,55.272266,295.65808,0.7079304,54.769695,2.3828876,1.1248823,25.0,13.0,1.0,11.0,0.020571567,0.019174676,5.8520904,0.003894766,0.003424342,0.24565427,1.0,-0.0033166409,0.0030764341354370117,0.004523776462920851,True
20554,11,-1.9082047,2.029643,2,2,85.42467,324.58105,0.16945991,78.75553,2.029605,-1.9060425,25.0,13.0,3.0,11.0,0.012820818,0.014577758,5.054879,0.0035522531,0.0033554982,0.14254794,1.0,-3.8146973e-05,0.0021622180938720703,0.0021625545720260113,True
20560,-11,1.5300277,-2.437558,1,2,9.3927965,53.775623,0.4719021,11.172895,-2.4511034,1.5289018,15.0,8.0,3.0,7.0,0.03397954,0.031199612,3.946508,0.0059557017,0.005743267,-0.6926513,0.0,-0.013545513,0.001125931739807129,0.013592227374404542,True
20560,11,-1.5438623,2.423491,2,2,9.3927965,53.775623,0.35660884,9.011452,2.4302323,-1.5546973,15.0,8.0,3.0,7.0,0.024046931,0.021640236,4.1595345,0.0042699254,0.0032360526,-0.2070413,1.0,0.0067412853,0.010834932327270508,0.012760904656990875,True
20566,-11,1.1135324,-1.6729647,1,2,50.48092,139.73747,0.06506111,50.252705,-1.6733683,1.113875,21.0,11.0,1.0,9.0,0.008541615,0.0099685695,4.524356,0.0035564757,0.003251216,0.07549782,1.0,-0.00040364265,0.0003426074981689453,0.0005294405446015218,True
20566,11,-2.000503,1.6810493,2,2,50.48092,139.73747,0.4877309,44.842026,1.6807139,-1.9985235,21.0,11.0,1.0,9.0,0.009293267,0.009535986,4.956074,0.0038358746,0.003470551,0.06562418,1.0,-0.00033545494,0.0019795894622802734,0.0020078108617286347,True
20571,-11,1.9240794,2.9333436,1,2,35.6568,337.3152,0.1216601,41.63974,2.9343407,1.9202679,25.0,13.0,3.0,11.0,0.037593976,0.043406103,5.3118534,0.0040921643,0.0036184185,0.17838608,1.0,0.0009970665,0.003811478614807129,0.003939734868258609,True
20571,11,-1.206846,-2.9415226,2,2,35.6568,337.3152,0.0748013,43.38081,-2.934146,-1.1999578,49.0,12.0,3.0,11.0,0.03204414,0.040060848,19.757713,0.0035034886,0.003187832,0.1814977,1.0,0.007376671,0.006888151168823242,0.010092665567551938,True
