event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
8,-211,1.2790608,-1.7701256,1,2,92.11759,283.69733,-1.0,82.7863,-1.7752862,1.2747352,41,27,1,27,0.022500375,0.018953195,13.010998,0.008127277,0.0033625918,-0.00516057,0.0043256282806396484,0.0067336872312698,True
8,211,-1.8759369,1.8114338,2,2,92.11759,283.69733,-1.0,97.97888,1.8038203,-1.8714666,49,35,1,38,0.027803978,0.022526477,36.220963,0.009842656,0.00253474,-0.0076135397,0.004470229148864746,0.008828869405914527,True
14,211,-0.8546452,-2.218146,2,2,19.365181,90.510704,-1.0,17.393911,-2.2025669,-0.86636746,44,27,1,32,0.027351845,0.03176997,19.78832,0.006265172,0.0033493638,0.015579224,0.011722266674041748,0.019496762422990473,True
16,-211,0.50417334,-1.5909902,1,2,20.764723,53.691704,-1.0,23.694023,-1.6010151,0.5155279,50,29,1,35,0.023448931,0.02133712,25.795944,0.010594745,0.0027187795,-0.010024905,0.011354565620422363,0.015146778153024135,True
16,211,-2.7101293,1.6165526,2,2,20.764723,53.691704,-1.0,17.467297,1.6179081,-2.711073,52,38,1,47,0.028954636,0.033690978,37.863945,0.012957557,0.0007718548,0.0013555288,0.0009436607360839844,0.0016516518954048666,True
22,211,0.8683273,-2.3796406,2,2,54.71538,290.1584,-1.0,43.428997,-2.3749907,0.87790275,47,30,1,11,0.03276593,0.025564685,21.975998,0.0064513586,0.0033634303,0.0046498775,0.009575426578521729,0.01064472429503163,True
22,-211,-2.2606862,2.3259692,1,2,54.71538,290.1584,-1.0,58.377796,2.3368793,-2.252121,52,38,1,29,0.035161234,0.024797063,35.33425,0.0069154524,0.0029747293,0.010910034,0.008565187454223633,0.013870518444814506,True
32,-211,-1.2856398,-2.7808194,1,2,48.261776,395.39142,-1.0,45.888565,-2.787359,-1.2705176,50,33,1,32,0.054748423,0.023897074,24.860657,0.006675215,0.0038832084,-0.006539583,0.015122175216674805,0.016475628375671663,True
34,211,-2.0283828,-1.7292533,2,2,23.337141,69.44379,-1.0,31.043308,-1.7335019,-2.0253308,44,30,1,29,0.012383872,0.021281868,23.970257,0.004850885,0.001544458,-0.004248619,0.0030519962310791016,0.005231199113824783,True
34,-211,1.1682316,1.7799586,1,2,23.337141,69.44379,-1.0,26.19147,1.778439,1.1698138,42,28,1,23,0.02427686,0.032135207,24.44802,0.009000376,0.003530798,-0.0015195608,0.0015821456909179688,0.0021936841509019216,True
35,-211,1.8169165,2.9911149,1,2,66.86991,677.63513,-1.0,33.003056,2.9539309,1.8068849,52,38,1,43,0.020131018,0.04815385,37.67074,0.0021394526,0.0015317065,-0.037184,0.010031580924987793,0.03851340665316287,True
37,211,-2.2986822,2.9553769,2,2,53.55534,507.47882,-1.0,40.797943,2.9451005,-2.2915802,50,15,3,17,0.028035402,0.0043539586,14.008506,0.0030570382,0.0022222358,-0.010276318,0.007102012634277344,0.012491648673128467,True
