event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
52262,-211,-1.1207571,1.7243862,1,2,51.610737,149.6675,-1.0,37.09699,1.7239808,-1.1191226,36,11,7,29,0.009724938,0.011708458,16.957779,0.0037938182,0.00339076,-0.5401826,0,-0.0004054308,0.0016344785690307617,0.0016840113779756655,True
52269,211,-1.17276,2.0163755,2,2,79.64233,305.726,-1.0,34.069813,2.0163229,-1.174137,21,10,27,29,0.016912377,0.014903339,26.06821,0.0047719004,0.0037070399,-0.67764163,0,-5.2690506e-05,0.0013769865036010742,0.0013779942382027915,True
52270,-211,-0.30911678,2.8105922,1,2,92.89701,768.48846,-1.0,54.423637,2.8098452,-0.3144179,32,16,5,31,0.03318185,0.032604136,12.652308,0.004001516,0.0036387015,-0.46759644,0,-0.0007469654,0.005301117897033691,0.005353485619620672,True
52270,211,2.8278236,-2.7942934,2,2,92.89701,768.48846,-1.0,75.4147,-2.7884898,2.8312483,24,18,17,29,0.030351806,0.029139144,14.888992,0.003757242,0.003574582,-0.5724309,0,0.005803585,0.0034246444702148438,0.006738678713255063,True
52271,211,-3.0269659,2.6917365,2,2,65.65742,500.03183,-1.0,41.403873,2.691441,-3.028606,37,12,5,35,0.029285586,0.027677786,15.928676,0.004065677,0.0034301481,-0.50859654,0,-0.00029540062,0.0016400814056396484,0.0016664718848903354,True
52272,211,1.9771347,1.6974334,2,2,82.26967,232.82196,-1.0,45.342648,1.698574,1.9765536,32,11,9,15,0.009995319,0.012060091,13.689821,0.004042533,0.003739122,-0.11769782,0,0.0011405945,0.0005811452865600586,0.001280111564443583,True
52272,-211,-1.1479789,-1.7038621,1,2,82.26967,232.82196,-1.0,27.092724,-1.7048161,-1.145523,34,7,15,38,0.012281613,0.013732047,24.60382,0.0049306103,0.0017474144,-0.6851734,0,-0.00095403194,0.0024559497833251953,0.0026347421647480366,True
52273,211,1.9438692,-1.8475189,2,2,18.5472,60.229683,-1.0,10.939969,-1.8432409,1.9475747,9,6,27,31,0.014893002,0.014940012,5.7899733,0.005114878,0.003980245,-0.72749907,0,0.004278064,0.0037055015563964844,0.005659732411593443,True
52273,-211,-1.1350935,1.8455827,1,2,18.5472,60.229683,-1.0,11.48832,1.8467772,-1.1323684,10,8,25,31,0.00876314,0.008704714,8.023871,0.0029746462,0.0028232324,-0.600897,0,0.0011944771,0.0027250051498413086,0.002975303104628135,True
52280,-211,1.1169981,2.8083835,1,2,23.475405,193.82312,-1.0,23.184563,2.8100898,1.1104219,23,12,3,7,0.04398582,0.04728114,5.891882,0.00526341,0.0044801715,-0.27708757,0,0.0017063618,0.006576180458068848,0.006793954654875931,True
