entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,695888,11,-2.4949846,1.7340716,1,2,47.53323,138.00629,0.1555398
0,1,695888,-11,0.61882234,-1.7219253,2,2,47.53323,138.00629,0.83736897
1,0,695883,11,-1.443911,2.397018,1,2,25.694002,141.11945,0.8205321
1,1,695883,-11,1.6717438,-2.3793266,2,2,25.694002,141.11945,0.84436893
2,0,695881,11,-1.6095483,1.6135892,1,2,75.182106,194.39755,0.18904181
2,1,695881,-11,1.5119473,-1.5934795,2,2,75.182106,194.39755,0.9872885
3,0,695886,11,0.48942316,2.0676196,1,2,8.773185,35.33727,0.16310525
3,1,695886,-11,-2.7572758,-2.0745056,2,2,8.773185,35.33727,0.6623901
4,0,695889,11,-2.935969,2.5968392,1,2,36.3493,242.84065,0.6336839
4,1,695889,-11,0.19062617,-2.576741,2,2,36.3493,242.84065,0.88890755
5,0,695884,11,3.038943,2.0500927,1,2,71.42858,281.36694,0.7176972
5,1,695884,-11,-0.11587112,-2.0451152,2,2,71.42858,281.36694,0.9389852
6,0,695894,11,1.9230293,1.6410646,1,2,7.2478137,19.20627,0.94097227
6,1,695894,-11,-1.4209456,-1.6222765,2,2,7.2478137,19.20627,0.8015638
7,0,695887,11,-2.723553,2.0373824,1,2,12.977972,50.37845,0.3068913
7,1,695887,-11,0.34415975,-2.0279617,2,2,12.977972,50.37845,0.24261941
8,0,695895,11,0.83600426,1.6280403,1,2,10.493763,27.663963,0.3272511
8,1,695895,-11,-2.4462507,-1.6223339,2,2,10.493763,27.663963,0.028363226
9,0,695897,11,0.7231111,1.7786634,1,2,13.368398,40.591347,0.856085
9,1,695897,-11,-2.5123653,-1.7730824,2,2,13.368398,40.591347,0.73040146
10,0,695882,11,2.3812132,2.4092097,1,2,76.99272,435.36646,0.122221865
10,1,695882,-11,-0.7687418,-2.4262977,2,2,76.99272,435.36646,0.9980254
11,0,695885,11,0.8565785,2.583672,1,2,70.485825,479.05194,0.50701016
11,1,695885,-11,-2.2925916,-2.6249485,2,2,70.485825,479.05194,0.79045576
12,0,695893,11,0.76282805,2.2822585,1,2,58.394363,286.54037,0.4099518
12,1,695893,-11,-2.391581,-2.2643585,2,2,58.394363,286.54037,0.53980005
13,0,695891,11,-2.8838441,2.2989328,1,2,72.928795,369.74948,0.6827242
13,1,695891,-11,0.24782181,-2.3143756,2,2,72.928795,369.74948,0.28900003
14,1,695892,-11,-2.2922883,-2.263674,2,2,74.996635,373.38504,0.73916376
15,0,695899,11,0.010502152,2.3036957,1,2,30.572033,152.79955,0.01558676
15,1,695899,-11,3.128071,-2.2805476,2,2,30.572033,152.79955,0.9789519
16,0,695904,11,0.33888412,1.7975292,1,2,25.51127,78.642555,0.6338083
16,1,695904,-11,-2.85108,-1.7857544,2,2,25.51127,78.642555,0.59677476
17,0,695890,11,2.1283302,2.7667556,1,2,82.42579,659.446,0.7363331
17,1,695890,-11,-1.0188043,-2.7706907,2,2,82.42579,659.446,0.25206223
18,0,695896,11,1.2045498,2.4224567,1,2,75.011314,418.88983,0.036870275
18,1,695896,-11,-1.9457895,-2.387866,2,2,75.011314,418.88983,0.5311905
19,0,695900,11,-0.6211169,1.9472511,1,2,81.53443,292.5526,0.1675428
19,1,695900,-11,2.5076962,-1.9542893,2,2,81.53443,292.5526,0.059139695
20,0,695905,11,2.0867329,1.9652722,1,2,33.34614,121.98612,0.08012408
20,1,695905,-11,-1.0854928,-1.9766095,2,2,33.34614,121.98612,0.94384515
21,0,695898,11,-0.50401276,2.3825827,1,2,87.29675,469.30023,0.22161502
21,1,695898,-11,2.629775,-2.3503199,2,2,87.29675,469.30023,0.5766826
22,0,695909,11,0.110554606,2.0875976,1,2,22.0611,90.034065,0.27393067
22,1,695909,-11,-3.0722618,-2.0808725,2,2,22.0611,90.034065,0.056106623
23,0,695902,11,0.17176482,2.0877202,1,2,79.282135,320.86502,0.7399347
23,1,695902,-11,-2.9814093,-2.0635111,2,2,79.282135,320.86502,0.6599483
24,0,695903,11,-0.36965325,2.688152,1,2,50.038776,377.17548,0.8175579
24,1,695903,-11,2.7622645,-2.7295554,2,2,50.038776,377.17548,0.9654203
25,0,695907,11,1.4599608,1.6525216,1,2,67.7518,184.86252,0.8064345
25,1,695907,-11,-1.7025597,-1.6706089,2,2,67.7518,184.86252,0.4316323
26,0,695906,11,2.9582446,2.309697,1,2,43.7728,224.32936,0.7898927
26,1,695906,-11,-0.1997021,-2.3255763,2,2,43.7728,224.32936,0.12431961
27,0,695913,11,1.60017,1.8867916,1,2,33.220787,112.667984,0.015127455
27,1,695913,-11,-1.5748162,-1.8972032,2,2,33.220787,112.667984,0.06778633
28,0,695911,11,-2.9847896,2.3009293,1,2,39.939495,199.44788,0.7477416
28,1,695911,-11,0.13841142,-2.281509,2,2,39.939495,199.44788,0.6629039
29,1,695910,-11,0.98639613,-2.1041641,2,2,68.36559,283.57733,0.98067725
30,0,695917,11,-0.20032802,2.1679342,1,2,24.1699,105.498604,0.2690554
30,1,695917,-11,2.9062297,-2.1390886,2,2,24.1699,105.498604,0.29587016
31,0,695901,11,-1.9252075,2.692879,1,2,99.15412,719.8045,0.6695884
31,1,695901,-11,1.2113343,-2.6489658,2,2,99.15412,719.8045,0.7539943
32,1,695916,-11,0.9522872,-1.941966,2,2,44.16722,156.84767,0.20729785
33,0,695914,11,2.7468443,1.7274604,1,2,94.697685,276.66254,0.66745925
33,1,695914,-11,-0.40858287,-1.741793,2,2,94.697685,276.66254,0.7880553
34,0,695908,11,-0.69462943,2.3622353,1,2,94.971855,499.30948,0.41741836
34,1,695908,-11,2.439589,-2.3253732,2,2,94.971855,499.30948,0.776372
35,0,695922,11,-2.8408887,1.9710548,1,2,13.664617,50.292236,0.81746715
35,1,695922,-11,0.22637403,-1.983836,2,2,13.664617,50.292236,0.36870834
36,0,695915,11,-0.37126145,2.5089989,1,2,55.108215,341.0933,0.36503232
36,1,695915,-11,2.7596626,-2.5098388,2,2,55.108215,341.0933,0.40679026
37,0,695921,11,1.3219632,1.6832339,1,2,30.727545,86.55651,0.9194008
37,1,695921,-11,-1.8641255,-1.7084659,2,2,30.727545,86.55651,0.1427684
38,0,695925,11,-2.9873927,2.1050007,1,2,16.334406,67.740364,0.06776567
38,1,695925,-11,0.099460974,-2.0966454,2,2,16.334406,67.740364,0.82468957
39,0,695919,11,2.2655792,2.2712734,1,2,48.4619,236.9312,0.22839187
39,1,695919,-11,-0.891567,-2.267773,2,2,48.4619,236.9312,0.5204582
40,0,695924,11,2.3818872,2.5411391,1,2,18.224218,116.1812,0.99641556
40,1,695924,-11,-0.790995,-2.537622,2,2,18.224218,116.1812,0.23108092
41,0,695927,11,-1.9486654,1.6318488,1,2,33.221207,88.41882,0.07566173
41,1,695927,-11,1.1489893,-1.6377552,2,2,33.221207,88.41882,0.43277538
42,0,695930,11,-0.016837928,1.5925227,1,2,12.865861,33.333244,0.9521055
42,1,695930,-11,3.0076766,-1.6199973,2,2,12.865861,33.333244,0.79366887
43,0,695923,11,2.5904918,2.271242,1,2,62.551693,304.44882,0.34848922
44,1,695928,-11,0.78768736,-2.3895607,2,2,30.694443,168.18681,0.40670446
45,0,695929,11,0.96620816,2.2915823,1,2,45.549557,224.08801,0.7414607
45,1,695929,-11,-2.1918042,-2.2604809,2,2,45.549557,224.08801,0.8619864
46,0,695912,11,2.6559749,2.8025556,1,2,88.06474,715.7115,0.34653455
46,1,695912,-11,-0.49073106,-2.7668626,2,2,88.06474,715.7115,0.9843511
47,0,695926,11,0.7961623,2.4635196,1,2,62.72125,368.56067,0.9657187
47,1,695926,-11,-2.3553176,-2.4500003,2,2,62.72125,368.56067,0.8159783
48,0,695933,11,-0.15045802,2.3149707,1,2,23.39389,119.81873,0.7309397
48,1,695933,-11,2.9605315,-2.3190773,2,2,23.39389,119.81873,0.92740834
49,0,695918,11,-1.2332014,2.6012185,1,2,89.76985,613.2325,0.8351401
49,1,695918,-11,1.9024922,-2.617334,2,2,89.76985,613.2325,0.40677673
50,0,695934,11,-1.2536229,1.608809,1,2,57.064034,149.54218,0.94915503
50,1,695934,-11,1.8619261,-1.6273158,2,2,57.064034,149.54218,0.72812945
51,0,695935,11,-2.916281,1.726301,1,2,41.9946,118.90858,0.9256943
51,1,695935,-11,0.1929668,-1.6769357,2,2,41.9946,118.90858,0.44413492
52,1,695931,-11,2.8837492,-2.6714098,2,2,45.337074,331.01266,0.41617507
53,0,695932,11,0.16337731,2.455074,1,2,57.721333,332.94543,0.25473174
53,1,695932,-11,-2.9892068,-2.4210365,2,2,57.721333,332.94543,0.43901223
54,0,695920,11,-1.156383,2.716453,1,2,96.42608,724.6214,0.36441922
54,1,695920,-11,1.9801694,-2.6947956,2,2,96.42608,724.6214,0.89229935
55,0,695936,11,0.03993096,2.029622,1,2,81.325066,316.3178,0.2972687
55,1,695936,-11,-3.1134422,-2.0393953,2,2,81.325066,316.3178,0.56187534
56,0,695945,11,1.7027498,1.8174242,1,2,7.3149247,22.91235,0.57040906
56,1,695945,-11,-1.6045712,-1.8016232,2,2,7.3149247,22.91235,0.88613045
57,0,695941,11,2.8921208,2.0868661,1,2,50.185375,203.43262,0.23932338
57,1,695941,-11,-0.26771253,-2.0676315,2,2,50.185375,203.43262,0.23166203
58,0,695940,11,0.46637192,1.8038596,1,2,67.538155,213.64206,0.9813158
58,1,695940,-11,-2.6929789,-1.8339894,2,2,67.538155,213.64206,0.3639228
59,0,695937,11,0.09093403,2.066436,1,2,97.06283,388.2148,0.023339404
59,1,695937,-11,-3.0602136,-2.0602617,2,2,97.06283,388.2148,0.23821425
60,0,695943,11,2.0241103,1.7052778,1,2,74.78057,210.95595,0.5831684
60,1,695943,-11,-1.1357219,-1.6892865,2,2,74.78057,210.95595,0.4841401
61,0,695944,11,2.9701564,2.7069216,1,2,23.578108,177.0483,0.992019
61,1,695944,-11,-0.19193499,-2.7026925,2,2,23.578108,177.0483,0.86981136
