entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,522882,11,-1.129446,1.8287055,1,2,75.58021,243.65567,0.10826053
0,1,522882,-11,1.9966279,-1.8489043,2,2,75.58021,243.65567,0.8940683
1,0,522881,11,2.4391642,1.838838,1,2,36.90302,116.762726,0.9296242
1,1,522881,-11,-0.7348988,-1.7997583,2,2,36.90302,116.762726,0.2937739
2,0,522885,11,1.9420376,1.6789854,1,2,46.052094,124.895515,0.0071465014
2,1,522885,-11,-1.2305825,-1.6317418,2,2,46.052094,124.895515,0.7865285
3,0,522890,11,-1.177203,2.281679,1,2,18.283068,89.175995,0.76711196
3,1,522890,-11,1.9231653,-2.252892,2,2,18.283068,89.175995,0.51248854
4,0,522888,11,0.1855009,1.9291005,1,2,55.464027,191.97725,0.0966049
4,1,522888,-11,-2.975679,-1.8976836,2,2,55.464027,191.97725,0.10869362
5,0,522884,11,-2.4073148,2.476297,1,2,9.2558565,55.46578,0.77076674
6,0,522889,11,2.384285,2.785502,1,2,19.563957,159.60304,0.78197134
6,1,522889,-11,-0.78002447,-2.7912896,2,2,19.563957,159.60304,0.8520802
7,0,522892,11,-1.8125929,1.8950036,1,2,7.96174,27.20542,0.58987576
7,1,522892,-11,1.1906502,-1.9061308,2,2,7.96174,27.20542,0.12453703
8,0,522886,11,1.4954447,2.203997,1,2,69.00736,313.78595,0.3990179
8,1,522886,-11,-1.6578407,-2.186752,2,2,69.00736,313.78595,0.880034
9,0,522883,11,0.5145145,2.386143,1,2,56.784515,316.70627,0.1000996
9,1,522883,-11,-2.6386483,-2.421644,2,2,56.784515,316.70627,0.749825
10,1,522891,-11,2.6390471,-2.7346663,2,2,34.27453,260.05725,0.607142
11,0,522896,11,-1.6244528,1.9530407,1,2,51.576027,184.69849,0.5951938
11,1,522896,-11,1.4968756,-1.9444623,2,2,51.576027,184.69849,0.19347805
12,0,522893,11,-2.87838,2.002841,1,2,70.91012,265.9316,0.77161366
12,1,522893,-11,0.24919523,-1.9906251,2,2,70.91012,265.9316,0.060706068
13,0,522897,11,3.0568638,2.2359164,1,2,46.51031,218.79324,0.39618528
13,1,522897,-11,-0.10159073,-2.2243555,2,2,46.51031,218.79324,0.21815674
14,0,522899,11,2.6579304,1.9604067,1,2,37.287006,133.75314,0.011446099
14,1,522899,-11,-0.51168305,-1.9407197,2,2,37.287006,133.75314,0.34312478
15,0,522894,11,-0.3313662,1.9373906,1,2,90.17634,316.4114,0.54683167
15,1,522894,-11,2.7983487,-1.9176695,2,2,90.17634,316.4114,0.046038173
16,0,522898,11,0.022743324,2.5313208,1,2,40.221912,252.58305,0.09559893
16,1,522898,-11,-3.133236,-2.5169,2,2,40.221912,252.58305,0.5930428
17,0,522895,11,-0.19307682,1.9322772,1,2,95.340744,331.95813,0.88095504
17,1,522895,-11,2.9371862,-1.9067334,2,2,95.340744,331.95813,0.13180111
18,0,522904,11,1.2759815,2.4003527,1,2,7.9205174,43.316193,0.47367167
19,0,522903,11,-1.6934961,2.135982,1,2,28.455044,122.61021,0.99702525
19,1,522903,-11,1.4179721,-2.144285,2,2,28.455044,122.61021,0.17564535
20,0,522887,11,-1.0980104,2.671662,1,2,95.05713,699.4288,0.5028587
20,1,522887,-11,2.0383267,-2.6970723,2,2,95.05713,699.4288,0.95716435
21,0,522901,11,0.91811496,1.7974721,1,2,71.00799,214.80188,0.30084908
21,1,522901,-11,-2.2412307,-1.7464346,2,2,71.00799,214.80188,0.7570532
22,0,522908,11,1.4728996,1.8183241,1,2,12.804135,40.48515,0.25731963
22,1,522908,-11,-1.7623607,-1.8190063,2,2,12.804135,40.48515,0.13527311
23,0,522900,11,-0.6091701,2.5339348,1,2,44.77911,290.58942,0.6228946
23,1,522900,-11,2.5198374,-2.5813127,2,2,44.77911,290.58942,0.8940705
24,0,522910,11,1.549186,1.7605543,1,2,33.68828,98.87959,0.9560289
24,1,522910,-11,-1.6311271,-1.7191327,2,2,33.68828,98.87959,0.8675976
25,0,522907,11,2.418099,2.010401,1,2,55.621292,212.2042,0.41189572
25,1,522907,-11,-0.74107176,-2.018631,2,2,55.621292,212.2042,0.2661554
26,0,522913,11,2.945302,2.3112655,1,2,20.421139,105.89219,0.55044293
26,1,522913,-11,-0.23091044,-2.3483324,2,2,20.421139,105.89219,0.5666238
27,0,522912,11,-2.5972583,1.8954058,1,2,56.868885,192.77238,0.58553934
27,1,522912,-11,0.5247955,-1.8874539,2,2,56.868885,192.77238,0.10607029
28,0,522906,11,1.7443491,2.528904,1,2,58.354977,371.07385,0.7438341
28,1,522906,-11,-1.4070387,-2.5446947,2,2,58.354977,371.07385,0.77015394
29,0,522914,11,0.5499347,1.9344159,1,2,48.715366,169.81035,0.42694324
29,1,522914,-11,-2.6137774,-1.9070234,2,2,48.715366,169.81035,0.23144603
30,0,522915,11,0.49573573,1.752879,1,2,48.93262,145.68513,0.9035968
31,0,522905,11,0.41954514,2.5523725,1,2,80.282425,518.6692,0.9239469
31,1,522905,-11,-2.729058,-2.5532691,2,2,80.282425,518.6692,0.99687654
32,1,522916,-11,1.3477075,-2.7480712,2,2,18.23564,142.11115,0.67499715
33,0,522911,11,-0.645688,2.1195526,1,2,93.27377,399.8451,0.3859692
33,1,522911,-11,2.4866447,-2.1503005,2,2,93.27377,399.8451,0.23825486
34,0,522902,11,2.0614905,2.7917905,1,2,82.23084,667.27325,0.32251358
34,1,522902,-11,-1.0854249,-2.7742863,2,2,82.23084,667.27325,0.1769702
35,0,522921,11,-1.7125479,1.7445751,1,2,36.87566,110.451035,0.017770488
36,0,522924,11,-2.7275295,2.3467765,1,2,12.927661,69.11639,0.30434686
36,1,522924,-11,0.3611034,-2.375079,2,2,12.927661,69.11639,0.91287017
37,0,522918,11,-0.3222716,1.6130463,1,2,87.97992,233.61469,0.9657792
37,1,522918,-11,2.8026896,-1.6518482,2,2,87.97992,233.61469,0.23878287
38,0,522922,11,0.13955988,2.251589,1,2,40.11118,191.92664,0.6840418
38,1,522922,-11,-3.021232,-2.2434635,2,2,40.11118,191.92664,0.49295118
39,0,522909,11,2.883747,2.5614944,1,2,98.857475,636.47845,0.9623724
39,1,522909,-11,-0.2636253,-2.537324,2,2,98.857475,636.47845,0.8644374
40,0,522920,11,-0.2807059,2.6690226,1,2,42.378387,311.23895,0.7332533
40,1,522920,-11,2.8491983,-2.69598,2,2,42.378387,311.23895,0.3499477
41,0,522928,11,-2.5257022,2.55159,1,2,10.30663,66.09209,0.43186656
